country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Tuonela,Beelzebub,The Order,115k active personnel,9 ships,Korean War surplus,Gandhi-like,7 factories,Good,online now,45 Hundred Tons per month,3 Mbbl per month,Central Planning,$6869 million,303 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,62884 km 2,http://blocgame.com/stats.php?id=389,,
Sovngarde,Farron47,The Order,5k active personnel,15 ships,Korean War surplus,Normal,4 factories,Good,last online 2 hours ago,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$5599 million,331 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,42257 km 2,http://blocgame.com/stats.php?id=62626,,
Jemut,iwaniman/Ferozz,PIRATES,45k active personnel,8 ships,Korean War surplus,Normal,7 factories,Good,last online 9 hours ago,27 Hundred Tons per month,17 Mbbl per month,Free Market,$5377 million,177 Mbbl,Untapped,Very Powerful,East Indies,Neutral,52270 km 2,http://blocgame.com/stats.php?id=61811,,
USSR,CommissarBrian,The Order,49k active personnel,0 ships,Korean War surplus,Angelic,9 factories,Elite,last online 1 hours ago,39 Hundred Tons per month,9 Mbbl per month,Central Planning,$5335 million,71 Mbbl; 9 Mbbl,Untapped,Very Powerful,China,Soviet Union,48636 km 2,http://blocgame.com/stats.php?id=54182,,
Markovia,RDM HC,The Federal Colonies,149k active personnel,12 ships,Korean War surplus,Gandhi-like,5 factories,Elite,online now,37 Hundred Tons per month,17 Mbbl per month,Free Market,$5123 million,64 Mbbl; 17 Mbbl,Untapped,Very Powerful,Caribbean,United States,44119 km 2,http://blocgame.com/stats.php?id=58369,,
LOCAI,Agumentic,Brotherhood of Nod,82k active personnel,6 ships,Korean War surplus,Gandhi-like,6 factories,Elite,last online 4 hours ago,12 Hundred Tons per month,7 Mbbl per month,Free Market,$5046 million,67 Mbbl; 7 Mbbl,Untapped,Powerful,The Subcontinent,United States,36708 km 2,http://blocgame.com/stats.php?id=53011,,
Platypus Island,Mark0Polo,SPQR,12k active personnel,5 ships,Second World War surplus,Good,5 factories,Standard,last online 16 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$5015 million,21 Mbbl,Near Depletion,Meagre,Indochina,Soviet Union,68136 km 2,http://blocgame.com/stats.php?id=63909,,
Morovistan,Gustave Bergher,SPQR,98k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 3 hours ago,25 Hundred Tons per month,19 Mbbl per month,Central Planning,$4983 million,4811 Mbbl; 19 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Ferma,President Jacobo Vincenzo,The Order,9k active personnel,7 ships,Vietnam War surplus,Good,3 factories,Good,online now,25 Hundred Tons per month,,Mixed Economy,$4884 million,266 Mbbl,Near Depletion,None,Southern Cone,Neutral,40611 km 2,http://blocgame.com/stats.php?id=58784,,
Harezland,Adam harez,The Order,18k active personnel,3 ships,First World War surplus,Gandhi-like,4 factories,Elite,last online 1 hours ago,11 Hundred Tons per month,10 Mbbl per month,Central Planning,$4722 million,42 Mbbl; 10 Mbbl,Near Depletion,Large,Pacific Rim,Neutral,18372 km 2,http://blocgame.com/stats.php?id=60587,,
Mirah,Filzah,The Order,10k active personnel,14 ships,Korean War surplus,Angelic,4 factories,Undisciplined Rabble,last online 3 hours ago,26 Hundred Tons per month,12 Mbbl per month,Central Planning,$4685 million,191 Mbbl; 12 Mbbl,Plentiful,Very Powerful,China,Soviet Union,33872 km 2,http://blocgame.com/stats.php?id=64191,,
Lorigan,Lorigan,Interpol,98k active personnel,5 ships,Korean War surplus,Angelic,4 factories,Elite,last online 2 hours ago,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$4617 million,191 Mbbl; 8 Mbbl,Plentiful,Large,Amazonia,Soviet Union,43631 km 2,http://blocgame.com/stats.php?id=59787,,
Uzbekistanstan,Shaikh Zayer,The Order,73k active personnel,8 ships,Korean War surplus,Gandhi-like,5 factories,Good,last online 1 hours ago,59 Hundred Tons per month,5 Mbbl per month,Free Market,$4610 million,165 Mbbl,Untapped,Very Powerful,Congo,United States,42029 km 2,http://blocgame.com/stats.php?id=47207,,
Coccoladia,Ernesto Caprone,The Federal Colonies,59k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Standard,online now,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$4594 million,2 Mbbl,Untapped,Very Powerful,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,
