country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,39k active personnel,1 ships,First World War surplus,Nice,3 factories,Elite,last online 3 hours ago,4 Hundred Tons per month,54 Mbbl per month,Free Market,$1242 million,5226 Mbbl,Untapped,Somewhat Large,Mesopotamia,United States,38547 km 2,http://blocgame.com/stats.php?id=61626,1 Tons
Tuonela,Beelzebub,The Order,55k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,17 Hundred Tons per month,2 Mbbl per month,Central Planning,$999 million,320 Mbbl; 2 Mbbl,Untapped,Mediocre,The Subcontinent,Soviet Union,37195 km 2,http://blocgame.com/stats.php?id=389,
Kritch,Zorn,Brotherhood of Nod,34k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,14 Hundred Tons per month,3 Mbbl per month,Central Planning,$973 million,615 Mbbl; 3 Mbbl,Untapped,Small,The Subcontinent,Soviet Union,38312 km 2,http://blocgame.com/stats.php?id=63155,
Femtonesia,1101,Comintern,59k active personnel,0 ships,Finest of the 19th century,Nice,1 factory,Standard,online now,15 Hundred Tons per month,2 Mbbl per month,Central Planning,$944 million,210 Mbbl; 2 Mbbl,Plentiful,Meagre,Pacific Rim,Soviet Union,37416 km 2,http://blocgame.com/stats.php?id=63083,
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 4 hours ago,13 Hundred Tons per month,13 Mbbl per month,Mixed Economy,$943 million,3739 Mbbl; 13 Mbbl,Untapped,Small,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Derse Moon,Jack Noir,The Order,38k active personnel,7 ships,Second World War surplus,Normal,5 factories,Elite,online now,40 Hundred Tons per month,40 Mbbl per month,Free Market,$908 million,21497 Mbbl,Untapped,Very Powerful,Egypt,United States,60501 km 2,http://blocgame.com/stats.php?id=62965,
South Uganda,Dr. Idi Amin,Brotherhood of Zion,49k active personnel,0 ships,First World War surplus,Angelic,2 factories,Elite,last online 1 hours ago,23 Hundred Tons per month,4 Mbbl per month,Central Planning,$892 million,488 Mbbl; 4 Mbbl,Untapped,Somewhat Large,Southern Africa,Soviet Union,39393 km 2,http://blocgame.com/stats.php?id=63128,
Platypus Island,Mark0Polo,SPQR,35k active personnel,0 ships,First World War surplus,Nice,2 factories,Good,last online 6 hours ago,11 Hundred Tons per month,7 Mbbl per month,Central Planning,$854 million,813 Mbbl; 7 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,23658 km 2,http://blocgame.com/stats.php?id=63909,
Khebab,Al Khebab,Al-Qassam Brigades,7k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 164 hours ago,6 Hundred Tons per month,6 Mbbl per month,Central Planning,$830 million,2196 Mbbl; 6 Mbbl,Untapped,Meagre,Arabia,Soviet Union,33462 km 2,http://blocgame.com/stats.php?id=63695,
Morjei,FlairWoW,Brotherhood of Zion,38k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,12 Hundred Tons per month,3 Mbbl per month,Central Planning,$828 million,134 Mbbl; 3 Mbbl,Untapped,Meagre,Indochina,Soviet Union,39862 km 2,http://blocgame.com/stats.php?id=53068,
Conferan,Cryptox,The High Council,79k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,9 Hundred Tons per month,5 Mbbl per month,Central Planning,$826 million,398 Mbbl,Untapped,Mediocre,East Indies,Soviet Union,37659 km 2,http://blocgame.com/stats.php?id=56710,
