country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl
Sucanti,Draban,The Order,58k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,9 Hundred Tons per month,3 Mbbl per month,Free Market,$511 million,330 Mbbl,Untapped,Meagre,Pacific Rim,United States,28651 km 2,http://www.blocgame.com/stats.php?id=49810
Ansari,Abad,The Khilafah,59k active personnel,0 ships,First World War surplus,Good,2 factories,Standard,last online 1 hours ago,15 Hundred Tons per month,2 Mbbl per month,Free Market,$393 million,30 Mbbl,Untapped,Small,Congo,United States,29071 km 2,http://www.blocgame.com/stats.php?id=50625
Agonda,Agonda,The Federal Colonies,59k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,12 Hundred Tons per month,3 Mbbl per month,Central Planning,$457 million,97 Mbbl; 3 Mbbl,Untapped,Meagre,China,Soviet Union,26360 km 2,http://www.blocgame.com/stats.php?id=51268
Zerram,Bilgorin,The Order,46k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 1 hours ago,11 Hundred Tons per month,3 Mbbl per month,Central Planning,$349 million,367 Mbbl; 3 Mbbl,Untapped,None,Guinea,Soviet Union,34639 km 2,http://www.blocgame.com/stats.php?id=65344
Bombay,Bombay,Interpol,56k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 22 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$401 million,3585 Mbbl; 5 Mbbl,Untapped,Meagre,Arabia,Soviet Union,27986 km 2,http://www.blocgame.com/stats.php?id=51989
Grettistan,Grett,Brotherhood of Nod,59k active personnel,2 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,14 Hundred Tons per month,3 Mbbl per month,Central Planning,$443 million,157 Mbbl; 3 Mbbl,Plentiful,Somewhat Large,Southern Africa,Soviet Union,29638 km 2,http://www.blocgame.com/stats.php?id=51214
Wussan,Handri,SPQR,69k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,10 Hundred Tons per month,6 Mbbl per month,Central Planning,$532 million,1031 Mbbl; 6 Mbbl,,None,Persia,Soviet Union,27701 km 2,http://www.blocgame.com/stats.php?id=50197
Magahion,Hira,Socialist Arab Union,55k active personnel,2 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,10 Hundred Tons per month,1 Mbbl per month,Central Planning,$409 million,790 Mbbl; 1 Mbbl,Untapped,Somewhat Large,East Africa,Soviet Union,30877 km 2,http://www.blocgame.com/stats.php?id=65308
Channary,Kardal,The Order,43k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,12 Hundred Tons per month,2 Mbbl per month,Free Market,$396 million,75 Mbbl; 2 Mbbl,Untapped,Meagre,Caribbean,United States,28187 km 2,http://www.blocgame.com/stats.php?id=50479
Opandos,KllK,The Order,55k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,online now,10 Hundred Tons per month,3 Mbbl per month,Central Planning,$380 million,126 Mbbl; 3 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,41341 km 2,http://www.blocgame.com/stats.php?id=50208
Verbona,Omar,Interpol,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 13 hours ago,10 Hundred Tons per month,5 Mbbl per month,Central Planning,$356 million,3017 Mbbl; 5 Mbbl,Untapped,Meagre,Egypt,Soviet Union,28660 km 2,http://www.blocgame.com/stats.php?id=65345
