country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,39k active personnel,1 ships,5%,First World War surplus,Nice,3 factories,Elite,last online 10 hours ago,11 Hundred Tons per month,61 Mbbl per month,Free Market,$1364 million,5051 Mbbl,Untapped,Somewhat Large,Mesopotamia,United States,38547 km 2,http://blocgame.com/stats.php?id=61626,
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,21 Hundred Tons per month,2 Mbbl per month,Central Planning,$1254 million,404 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,
Platypus Island,Mark0Polo,SPQR,50k active personnel,0 ships,,First World War surplus,Angelic,2 factories,Elite,online now,16 Hundred Tons per month,14 Mbbl per month,Central Planning,$1126 million,826 Mbbl; 14 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,26307 km 2,http://blocgame.com/stats.php?id=63909,
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 10 hours ago,14 Hundred Tons per month,13 Mbbl per month,Mixed Economy,$1065 million,3700 Mbbl; 13 Mbbl,Untapped,Small,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Rome Reloaded,Tiberius Ceaser,SPQR,32k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$1051 million,6797 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,
Femtonesia,1101,Comintern,59k active personnel,0 ships,,Finest of the 19th century,Questionable,1 factory,Standard,last online 7 hours ago,17 Hundred Tons per month,2 Mbbl per month,Central Planning,$994 million,204 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,37416 km 2,http://blocgame.com/stats.php?id=63083,
Kritch,Zorn,Brotherhood of Nod,84k active personnel,0 ships,,First World War surplus,Normal,1 factory,Good,last online 4 hours ago,14 Hundred Tons per month,3 Mbbl per month,Central Planning,$964 million,606 Mbbl; 3 Mbbl,Plentiful,Mediocre,The Subcontinent,Soviet Union,38517 km 2,http://blocgame.com/stats.php?id=63155,
South Uganda,Dr. Idi Amin,Brotherhood of Zion,59k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,23 Hundred Tons per month,4 Mbbl per month,Central Planning,$955 million,476 Mbbl; 4 Mbbl,Untapped,Somewhat Large,Southern Africa,Soviet Union,39393 km 2,http://blocgame.com/stats.php?id=63128,
bakhang,cukobi,The Order,35k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,15 Hundred Tons per month,6 Mbbl per month,Central Planning,$947 million,1445 Mbbl; 6 Mbbl,Untapped,Large,Atlas,Soviet Union,40085 km 2,http://blocgame.com/stats.php?id=60485,
Russophia,Mikhail Putin,SPQR,9k active personnel,0 ships,,Second World War surplus,Gandhi-like,None,Elite,last online 5 hours ago,2 Hundred Tons per month,5 Mbbl per month,Central Planning,$938 million,3750 Mbbl; 5 Mbbl,Untapped,None,Arabia,Soviet Union,11575 km 2,http://blocgame.com/stats.php?id=54426,
Mzab,Cuma Thurman,Brotherhood of Zion,50k active personnel,0 ships,,First World War surplus,Good,1 factory,Elite,online now,11 Hundred Tons per month,9 Mbbl per month,Central Planning,$905 million,4575 Mbbl; 9 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,36462 km 2,http://blocgame.com/stats.php?id=63775,
Asians,bigyihsuan,The High Council,31k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 41 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$903 million,376 Mbbl; 2 Mbbl,Untapped,None,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551,
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 9 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$895 million,4448 Mbbl,Untapped,Somewhat Large,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,
Morjei,FlairWoW,Brotherhood of Zion,38k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,online now,15 Hundred Tons per month,3 Mbbl per month,Central Planning,$879 million,125 Mbbl; 3 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,39862 km 2,http://blocgame.com/stats.php?id=53068,
Derse Moon,Jack Noir,The Order,49k active personnel,8 ships,,Second World War surplus,Nice,5 factories,Elite,online now,40 Hundred Tons per month,40 Mbbl per month,Free Market,$878 million,21377 Mbbl,Plentiful,Very Powerful,Egypt,United States,60501 km 2,http://blocgame.com/stats.php?id=62965,
Cyleia,Silas Adar,The Order,39k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,6 Hundred Tons per month,5 Mbbl per month,Free Market,$866 million,585 Mbbl; 5 Mbbl,Untapped,Somewhat Large,Mesoamerica,United States,28634 km 2,http://blocgame.com/stats.php?id=62784,
The NLR,Darknight,Divine League,54k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 5 hours ago,37 Hundred Tons per month,2 Mbbl per month,Central Planning,$862 million,127 Mbbl; 2 Mbbl,Untapped,Large,Congo,Soviet Union,40989 km 2,http://blocgame.com/stats.php?id=49701,
temasik,lawrence,,14k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,online now,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$857 million,2 Mbbl,Untapped,Mediocre,East Indies,United States,16172 km 2,http://blocgame.com/stats.php?id=62827,
Cirno,jc99,The Federal Colonies,48k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 7 hours ago,25 Hundred Tons per month,2 Mbbl per month,Free Market,$856 million,302 Mbbl,Untapped,Small,Caribbean,United States,39052 km 2,http://blocgame.com/stats.php?id=43375,
Gobi,Saint Gobi,Brotherhood of Zion,37k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,10 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$853 million,435 Mbbl,Plentiful,Mediocre,Congo,United States,24905 km 2,http://blocgame.com/stats.php?id=61919,
Markovia,RDM HC,The Federal Colonies,59k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,10 Hundred Tons per month,5 Mbbl per month,Free Market,$850 million,457 Mbbl; 5 Mbbl,Untapped,Somewhat Large,Caribbean,United States,35854 km 2,http://blocgame.com/stats.php?id=58369,
ZAMENTA,ShAh FAr HAn,The Order,58k active personnel,1 ships,,First World War surplus,Angelic,2 factories,Standard,last online 4 hours ago,10 Hundred Tons per month,7 Mbbl per month,Central Planning,$849 million,352 Mbbl; 7 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,39122 km 2,http://blocgame.com/stats.php?id=61998,
VinnyNation,VinnyRuler,Brotherhood of Zion,22k active personnel,0 ships,,First World War surplus,Normal,1 factory,Elite,last online 17 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$846 million,367 Mbbl; 4 Mbbl,Untapped,None,Congo,Soviet Union,25259 km 2,http://blocgame.com/stats.php?id=62972,
