country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,39k active personnel,1 ships,First World War surplus,Good,3 factories,Elite,online now,3 Hundred Tons per month,47 Mbbl per month,Free Market,$1172 million,5328 Mbbl,Untapped,Somewhat Large,Mesopotamia,United States,38547 km 2,http://blocgame.com/stats.php?id=61626,1 Tons
Tuonela,Beelzebub,The Order,55k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 1 hours ago,16 Hundred Tons per month,2 Mbbl per month,Central Planning,$927 million,324 Mbbl; 2 Mbbl,Untapped,Mediocre,The Subcontinent,Soviet Union,37195 km 2,http://blocgame.com/stats.php?id=389,
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,13 Hundred Tons per month,11 Mbbl per month,Mixed Economy,$871 million,3763 Mbbl; 11 Mbbl,Untapped,Small,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Kritch,Zorn,Brotherhood of Nod,34k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,13 Hundred Tons per month,2 Mbbl per month,Central Planning,$828 million,558 Mbbl; 2 Mbbl,Untapped,Small,The Subcontinent,Soviet Union,34076 km 2,http://blocgame.com/stats.php?id=63155,
Morjei,FlairWoW,Brotherhood of Zion,38k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,11 Hundred Tons per month,3 Mbbl per month,Central Planning,$804 million,140 Mbbl; 3 Mbbl,Untapped,Meagre,Indochina,Soviet Union,39862 km 2,http://blocgame.com/stats.php?id=53068,
Derse Moon,Jack Noir,The Order,58k active personnel,7 ships,First World War surplus,Normal,5 factories,Elite,online now,40 Hundred Tons per month,40 Mbbl per month,Free Market,$798 million,20514 Mbbl,,Very Powerful,Egypt,United States,56123 km 2,http://blocgame.com/stats.php?id=62965,
Femtonesia,1101,Comintern,59k active personnel,0 ships,Finest of the 19th century,Nice,None,Good,last online 1 hours ago,14 Hundred Tons per month,2 Mbbl per month,Central Planning,$797 million,214 Mbbl; 2 Mbbl,Plentiful,Meagre,Pacific Rim,Soviet Union,35170 km 2,http://blocgame.com/stats.php?id=63083,
Memiaya,MrRoth,Che Guevara League,38k active personnel,0 ships,First World War surplus,Isolated,1 factory,Good,last online 2 hours ago,15 Hundred Tons per month,2 Mbbl per month,Central Planning,$793 million,573 Mbbl; 2 Mbbl,Untapped,Large,Caribbean,Soviet Union,45699 km 2,http://blocgame.com/stats.php?id=62980,1 Tons
Platypus Island,Mark0Polo,SPQR,49k active personnel,0 ships,First World War surplus,Nice,2 factories,Good,online now,11 Hundred Tons per month,7 Mbbl per month,Central Planning,$775 million,827 Mbbl; 7 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,23977 km 2,http://blocgame.com/stats.php?id=63909,
Lyranistan,Lyranistan,Brotherhood of Nod,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$756 million,2785 Mbbl; 12 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,39228 km 2,http://blocgame.com/stats.php?id=56860,
Uzbekistanstan,Shaikh Zayer,The Order,29k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,17 Hundred Tons per month,3 Mbbl per month,Free Market,$752 million,554 Mbbl,Plentiful,Mediocre,Congo,United States,36651 km 2,http://blocgame.com/stats.php?id=47207,
Khebab,Al Khebab,Al-Qassam Brigades,7k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 142 hours ago,6 Hundred Tons per month,6 Mbbl per month,Central Planning,$747 million,2208 Mbbl; 6 Mbbl,Untapped,Meagre,Arabia,Soviet Union,33462 km 2,http://blocgame.com/stats.php?id=63695,
LOCAI,Agumentic,Brotherhood of Zion,21k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 8 hours ago,4 Hundred Tons per month,2 Mbbl per month,Free Market,$746 million,226 Mbbl; 2 Mbbl,Untapped,Mediocre,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 18 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$745 million,4473 Mbbl,Untapped,Somewhat Large,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,
bakhang,cukobi,The Order,35k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 2 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$731 million,1046 Mbbl; 5 Mbbl,Untapped,Somewhat Large,Atlas,Soviet Union,35100 km 2,http://blocgame.com/stats.php?id=60485,
Pooland,kurwa,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,13 Hundred Tons per month,9 Mbbl per month,Central Planning,$718 million,2428 Mbbl; 9 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,39790 km 2,http://blocgame.com/stats.php?id=49295,
al-Bahrayn,dbdb,The Order,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,6 Hundred Tons per month,7 Mbbl per month,Central Planning,$718 million,969 Mbbl; 7 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,30107 km 2,http://blocgame.com/stats.php?id=59775,
ZAMENTA,ShAh FAr HAn,The Order,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,last online 2 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$717 million,375 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,36293 km 2,http://blocgame.com/stats.php?id=61998,
Shambala,Feranon,Brotherhood of Nod,20k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 4 hours ago,6 Hundred Tons per month,3 Mbbl per month,Central Planning,$714 million,297 Mbbl; 3 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,31241 km 2,http://blocgame.com/stats.php?id=41268,
Mzab,Cuma Thurman,Brotherhood of Zion,46k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,last online 1 hours ago,9 Hundred Tons per month,7 Mbbl per month,Central Planning,$714 million,4614 Mbbl; 7 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,34384 km 2,http://blocgame.com/stats.php?id=63775,
South Uganda,Dr. Idi Amin,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,23 Hundred Tons per month,4 Mbbl per month,Central Planning,$712 million,444 Mbbl; 4 Mbbl,Untapped,Somewhat Large,Southern Africa,Soviet Union,35374 km 2,http://blocgame.com/stats.php?id=63128,
Newsoka,E Mark,The High Council,18k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 4 hours ago,14 Hundred Tons per month,7 Mbbl per month,Mixed Economy,$710 million,387 Mbbl,Untapped,Meagre,Indochina,United States,23122 km 2,http://blocgame.com/stats.php?id=63105,
Cyleia,Silas Adar,The Order,31k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,5 Hundred Tons per month,5 Mbbl per month,Free Market,$705 million,610 Mbbl; 5 Mbbl,Untapped,Mediocre,Mesoamerica,United States,28634 km 2,http://blocgame.com/stats.php?id=62784,
Tandak,jimmyyus,PIRATES,2k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 6 hours ago,6 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$702 million,6386 Mbbl; 6 Mbbl,Untapped,Mediocre,Egypt,United States,26270 km 2,http://blocgame.com/stats.php?id=62201,
North Nubia,Sean Tony,/Pol/acks,4k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 1 hours ago,13 Hundred Tons per month,2 Mbbl per month,Central Planning,$696 million,314 Mbbl; 2 Mbbl,Plentiful,Meagre,Congo,Soviet Union,24116 km 2,http://blocgame.com/stats.php?id=63084,
Conferan,Cryptox,The High Council,79k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 2 hours ago,9 Hundred Tons per month,5 Mbbl per month,Central Planning,$694 million,408 Mbbl,Untapped,Mediocre,East Indies,Soviet Union,36005 km 2,http://blocgame.com/stats.php?id=56710,
Savannah,Watersfall,The United Nations,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,11 Hundred Tons per month,2 Mbbl per month,Central Planning,$692 million,65 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,31927 km 2,http://blocgame.com/stats.php?id=49817,
Kyranistan,Michael Hussain,Brotherhood of Nod,38k active personnel,0 ships,First World War surplus,Isolated,None,Good,online now,10 Hundred Tons per month,6 Mbbl per month,Central Planning,$691 million,8727 Mbbl; 6 Mbbl,Untapped,Mediocre,Persia,Soviet Union,31565 km 2,http://blocgame.com/stats.php?id=61263,
Asians,bigyihsuan,The High Council,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 16 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$690 million,386 Mbbl; 2 Mbbl,Untapped,None,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551,
Valtania,Kelvin D. Makumbi,Che Guevara League,56k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 4 hours ago,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$686 million,290 Mbbl; 5 Mbbl,Untapped,Small,Mesoamerica,Soviet Union,27676 km 2,http://blocgame.com/stats.php?id=62525,
Tyrantia,Malakal,The High Council,46k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,online now,19 Hundred Tons per month,11 Mbbl per month,Central Planning,$682 million,5497 Mbbl; 11 Mbbl,Untapped,Large,Arabia,Soviet Union,42075 km 2,http://blocgame.com/stats.php?id=40238,
Bendover,Mike Hawk,Farmington Brigade,16k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 50 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$679 million,233 Mbbl; 1 Mbbl,Untapped,None,East Indies,Soviet Union,16011 km 2,http://blocgame.com/stats.php?id=62897,
Jebawka,Shetay,The Order,55k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,8 Hundred Tons per month,9 Mbbl per month,Free Market,$678 million,2095 Mbbl,Untapped,Meagre,Arabia,United States,20165 km 2,http://blocgame.com/stats.php?id=54304,
FreakTopia,Remington Steel,The Order,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,online now,13 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$676 million,854 Mbbl,Untapped,Meagre,The Subcontinent,United States,38924 km 2,http://blocgame.com/stats.php?id=45527,
Khuzestan,Georgy Zhukov,The Federal Colonies,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 26 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$674 million,2626 Mbbl; 5 Mbbl,Untapped,Mediocre,Persia,Soviet Union,36081 km 2,http://blocgame.com/stats.php?id=48914,
