country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,59k active personnel,1 ships,5%,First World War surplus,Angelic,3 factories,Elite,last online 14 hours ago,11 Hundred Tons per month,61 Mbbl per month,Free Market,$1562 million,4929 Mbbl,Untapped,Large,Mesopotamia,United States,40045 km 2,http://blocgame.com/stats.php?id=61626,
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$1316 million,400 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,
Platypus Island,Mark0Polo,SPQR,50k active personnel,0 ships,,First World War surplus,Good,2 factories,Elite,last online 5 hours ago,20 Hundred Tons per month,17 Mbbl per month,Central Planning,$1206 million,796 Mbbl; 17 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,26307 km 2,http://blocgame.com/stats.php?id=63909,
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 10 hours ago,15 Hundred Tons per month,13 Mbbl per month,Central Planning,$1152 million,3674 Mbbl; 13 Mbbl,Untapped,Small,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Rome Reloaded,Tiberius Ceaser,SPQR,32k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 6 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$1150 million,6787 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,
Russophia,Mikhail Putin,SPQR,9k active personnel,0 ships,,Second World War surplus,Gandhi-like,None,Elite,last online 10 hours ago,2 Hundred Tons per month,5 Mbbl per month,Central Planning,$1041 million,3740 Mbbl; 5 Mbbl,Untapped,None,Arabia,Soviet Union,11575 km 2,http://blocgame.com/stats.php?id=54426,
Femtonesia,1101,Comintern,59k active personnel,0 ships,,Finest of the 19th century,Isolated,1 factory,Standard,last online 3 hours ago,20 Hundred Tons per month,2 Mbbl per month,Central Planning,$1039 million,200 Mbbl; 2 Mbbl,Untapped,None,Pacific Rim,Soviet Union,37683 km 2,http://blocgame.com/stats.php?id=63083,
Biji Kurdistan,Myron2point0,Comintern,39k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 8 hours ago,9 Hundred Tons per month,9 Mbbl per month,Central Planning,$1025 million,3739 Mbbl; 9 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,25072 km 2,http://blocgame.com/stats.php?id=52906,
South Uganda,Dr. Idi Amin,Brotherhood of Zion,63k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,29 Hundred Tons per month,4 Mbbl per month,Central Planning,$1001 million,468 Mbbl; 4 Mbbl,Untapped,Somewhat Large,Southern Africa,Soviet Union,39393 km 2,http://blocgame.com/stats.php?id=63128,
bakhang,cukobi,The Order,43k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Standard,last online 7 hours ago,17 Hundred Tons per month,7 Mbbl per month,Central Planning,$988 million,1432 Mbbl; 7 Mbbl,Untapped,Large,Atlas,Soviet Union,40085 km 2,http://blocgame.com/stats.php?id=60485,
