country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,59k active personnel,1 ships,5%,First World War surplus,Angelic,3 factories,Elite,last online 21 hours ago,11 Hundred Tons per month,61 Mbbl per month,Free Market,$1609 million,4868 Mbbl,Untapped,Large,Mesopotamia,United States,40045 km 2,http://blocgame.com/stats.php?id=61626,
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 2 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$1347 million,398 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,
Platypus Island,Mark0Polo,SPQR,50k active personnel,0 ships,,First World War surplus,Good,2 factories,Elite,last online 2 hours ago,21 Hundred Tons per month,19 Mbbl per month,Central Planning,$1246 million,779 Mbbl; 19 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,26307 km 2,http://blocgame.com/stats.php?id=63909,
Rome Reloaded,Tiberius Ceaser,SPQR,32k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$1198 million,6782 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,online now,15 Hundred Tons per month,13 Mbbl per month,Central Planning,$1197 million,3661 Mbbl; 13 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Russophia,Mikhail Putin,SPQR,9k active personnel,0 ships,,Second World War surplus,Gandhi-like,None,Elite,online now,2 Hundred Tons per month,5 Mbbl per month,Central Planning,$1091 million,3735 Mbbl; 5 Mbbl,Untapped,None,Arabia,Soviet Union,11575 km 2,http://blocgame.com/stats.php?id=54426,
Biji Kurdistan,Myron2point0,Comintern,49k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 2 hours ago,9 Hundred Tons per month,9 Mbbl per month,Central Planning,$1065 million,3730 Mbbl; 9 Mbbl,Plentiful,Large,Mesopotamia,Soviet Union,25072 km 2,http://blocgame.com/stats.php?id=52906,
Femtonesia,1101,Comintern,59k active personnel,0 ships,,Finest of the 19th century,Isolated,1 factory,Standard,online now,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$1063 million,198 Mbbl; 2 Mbbl,Untapped,None,Pacific Rim,Soviet Union,37683 km 2,http://blocgame.com/stats.php?id=63083,
Feffiopia,Serloks,Divine League,39k active personnel,0 ships,,First World War surplus,Angelic,1 factory,Elite,online now,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$1031 million,233 Mbbl,Plentiful,Meagre,The Subcontinent,Soviet Union,22834 km 2,http://blocgame.com/stats.php?id=46505,
South Uganda,Dr. Idi Amin,Brotherhood of Zion,67k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Elite,online now,29 Hundred Tons per month,4 Mbbl per month,Central Planning,$1025 million,464 Mbbl; 4 Mbbl,Untapped,Somewhat Large,Southern Africa,Soviet Union,39393 km 2,http://blocgame.com/stats.php?id=63128,
Asians,bigyihsuan,The High Council,36k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1023 million,370 Mbbl; 2 Mbbl,Plentiful,Meagre,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551,
bakhang,cukobi,The Order,47k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Standard,last online 3 hours ago,17 Hundred Tons per month,7 Mbbl per month,Central Planning,$1009 million,1425 Mbbl; 7 Mbbl,Untapped,Large,Atlas,Soviet Union,40085 km 2,http://blocgame.com/stats.php?id=60485,
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$997 million,4433 Mbbl,Untapped,Large,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,
temasik,lawrence,,14k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 32 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$995 million,2 Mbbl,Untapped,Mediocre,East Indies,United States,16172 km 2,http://blocgame.com/stats.php?id=62827,
Cyleia,Silas Adar,The Order,39k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,6 Hundred Tons per month,5 Mbbl per month,Free Market,$987 million,570 Mbbl; 5 Mbbl,Untapped,Somewhat Large,Mesoamerica,United States,28634 km 2,http://blocgame.com/stats.php?id=62784,
Jebawka,Shetay,The Order,70k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 2 hours ago,10 Hundred Tons per month,9 Mbbl per month,Free Market,$977 million,2194 Mbbl,Untapped,Meagre,Arabia,United States,22140 km 2,http://blocgame.com/stats.php?id=54304,
Conferan,Cryptox,The High Council,73k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Standard,last online 5 hours ago,10 Hundred Tons per month,6 Mbbl per month,Central Planning,$970 million,555 Mbbl,Untapped,Large,East Indies,Soviet Union,39512 km 2,http://blocgame.com/stats.php?id=56710,1 Tons
Lorigan,Lorigan,The High Council,37k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,14 Hundred Tons per month,8 Mbbl per month,Central Planning,$968 million,457 Mbbl; 8 Mbbl,Untapped,Mediocre,Amazonia,Soviet Union,36653 km 2,http://blocgame.com/stats.php?id=59787,
Morjei,FlairWoW,Brotherhood of Zion,38k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,last online 3 hours ago,17 Hundred Tons per month,3 Mbbl per month,Central Planning,$948 million,116 Mbbl; 3 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,39862 km 2,http://blocgame.com/stats.php?id=53068,
Mzab,Cuma Thurman,Brotherhood of Zion,50k active personnel,0 ships,,First World War surplus,Nice,1 factory,Good,last online 3 hours ago,11 Hundred Tons per month,10 Mbbl per month,Central Planning,$947 million,4547 Mbbl; 10 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,36773 km 2,http://blocgame.com/stats.php?id=63775,
Newsoka,E Mark,The High Council,38k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 16 hours ago,18 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$943 million,252 Mbbl,,Mediocre,Indochina,United States,19298 km 2,http://blocgame.com/stats.php?id=63105,
VinnyNation,VinnyRuler,Brotherhood of Zion,47k active personnel,0 ships,,Second World War surplus,Isolated,1 factory,Good,last online 20 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$941 million,355 Mbbl; 4 Mbbl,,None,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,
Cirno,jc99,The Federal Colonies,58k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Good,online now,25 Hundred Tons per month,2 Mbbl per month,Free Market,$937 million,296 Mbbl,Untapped,Mediocre,Caribbean,United States,39052 km 2,http://blocgame.com/stats.php?id=43375,
