country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,59k active personnel,1 ships,5%,First World War surplus,Gandhi-like,4 factories,Elite,last online 3 hours ago,11 Hundred Tons per month,61 Mbbl per month,Free Market,$1657 million,4807 Mbbl,Untapped,Large,Mesopotamia,United States,40045 km 2,http://blocgame.com/stats.php?id=61626,
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 4 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$1378 million,396 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,
Platypus Island,Mark0Polo,SPQR,50k active personnel,0 ships,,First World War surplus,Good,2 factories,Elite,online now,21 Hundred Tons per month,20 Mbbl per month,Central Planning,$1286 million,759 Mbbl; 20 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,26307 km 2,http://blocgame.com/stats.php?id=63909,
Rome Reloaded,Tiberius Ceaser,SPQR,32k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 2 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$1246 million,6777 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 3 hours ago,15 Hundred Tons per month,13 Mbbl per month,Central Planning,$1243 million,3648 Mbbl; 13 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Newsoka,E Mark,The High Council,38k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,18 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1156 million,242 Mbbl,,Mediocre,Indochina,United States,21155 km 2,http://blocgame.com/stats.php?id=63105,
Russophia,Mikhail Putin,SPQR,9k active personnel,0 ships,,Second World War surplus,Gandhi-like,None,Elite,last online 3 hours ago,3 Hundred Tons per month,5 Mbbl per month,Central Planning,$1140 million,3730 Mbbl; 5 Mbbl,Untapped,None,Arabia,Soviet Union,11575 km 2,http://blocgame.com/stats.php?id=54426,
Biji Kurdistan,Myron2point0,Comintern,49k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 10 hours ago,9 Hundred Tons per month,9 Mbbl per month,Central Planning,$1100 million,3721 Mbbl; 9 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,25072 km 2,http://blocgame.com/stats.php?id=52906,
Femtonesia,1101,Comintern,59k active personnel,0 ships,,Finest of the 19th century,Questionable,1 factory,Standard,last online 1 hours ago,23 Hundred Tons per month,2 Mbbl per month,Central Planning,$1088 million,196 Mbbl; 2 Mbbl,Untapped,None,Pacific Rim,Soviet Union,37683 km 2,http://blocgame.com/stats.php?id=63083,
Uzbekistanstan,Shaikh Zayer,The Order,39k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,online now,22 Hundred Tons per month,4 Mbbl per month,Free Market,$1085 million,526 Mbbl,Untapped,Mediocre,Congo,United States,38272 km 2,http://blocgame.com/stats.php?id=47207,
