country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Tuonela,Beelzebub,The Order,64k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 6 hours ago,30 Hundred Tons per month,2 Mbbl per month,Central Planning,$2712 million,378 Mbbl; 2 Mbbl,Untapped,Large,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,,
Platypus Island,Mark0Polo,SPQR,55k active personnel,3 ships,Second World War surplus,Gandhi-like,4 factories,Undisciplined Rabble,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$2708 million,342 Mbbl; 21 Mbbl,Untapped,Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Raja Udang,Mario,PIRATES,81k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,17 Hundred Tons per month,7 Mbbl per month,Central Planning,$2690 million,261 Mbbl; 7 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,44686 km 2,http://blocgame.com/stats.php?id=61754,,
Kyranistan,Michael Hussain,Comintern,60k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 8 hours ago,12 Hundred Tons per month,12 Mbbl per month,Central Planning,$2392 million,5863 Mbbl; 12 Mbbl,Near Depletion,Large,Persia,Soviet Union,25332 km 2,http://blocgame.com/stats.php?id=61263,,
Morovistan,Gustave Bergher,The Divine Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 4 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$2336 million,3310 Mbbl; 13 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Sovngarde,Farron47,The Order,82k active personnel,4 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 7 hours ago,25 Hundred Tons per month,6 Mbbl per month,Central Planning,$2284 million,609 Mbbl; 6 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,43266 km 2,http://blocgame.com/stats.php?id=62626,,
Batu putih,Harzan,The Federal Colonies,59k active personnel,4 ships,Second World War surplus,Isolated,2 factories,Elite,online now,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$2269 million,152 Mbbl,Near Depletion,Large,East Indies,Soviet Union,14783 km 2,http://blocgame.com/stats.php?id=61926,,
temasik,lawrence,SPQR,39k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 3 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$2262 million,923 Mbbl; 4 Mbbl,,Mediocre,East Indies,United States,19295 km 2,http://blocgame.com/stats.php?id=62827,,
Uzbekistanstan,Shaikh Zayer,The Order,79k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 1 hours ago,43 Hundred Tons per month,5 Mbbl per month,Free Market,$2244 million,410 Mbbl,Untapped,Large,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
Femtonesia,1101,Comintern,44k active personnel,2 ships,First World War surplus,Good,2 factories,Elite,online now,42 Hundred Tons per month,6 Mbbl per month,Central Planning,$2189 million,75 Mbbl; 6 Mbbl,,Mediocre,Pacific Rim,Soviet Union,33625 km 2,http://blocgame.com/stats.php?id=63083,,
LOCAI,Agumentic,Brotherhood of Nod,39k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 6 hours ago,10 Hundred Tons per month,4 Mbbl per month,Free Market,$2181 million,359 Mbbl; 4 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Mirah,Filzah,The Order,66k active personnel,5 ships,Second World War surplus,Gandhi-like,4 factories,Good,last online 2 hours ago,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$2150 million,436 Mbbl; 12 Mbbl,Untapped,Powerful,China,Soviet Union,24791 km 2,http://blocgame.com/stats.php?id=64191,,
