country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,269k active personnel,1 ships,5%,First World War surplus,Nice,5 factories,Standard,last online 5 hours ago,35 Hundred Tons per month,61 Mbbl per month,Free Market,$1812 million,4319 Mbbl; 61 Mbbl,Near Depletion,Powerful,Mesopotamia,United States,39945 km 2,http://blocgame.com/stats.php?id=61626,
Platypus Island,Mark0Polo,SPQR,55k active personnel,0 ships,,First World War surplus,Nice,2 factories,Elite,last online 5 hours ago,23 Hundred Tons per month,20 Mbbl per month,Central Planning,$1806 million,641 Mbbl; 20 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,
Jebawka,Shetay,The Order,78k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Standard,last online 7 hours ago,11 Hundred Tons per month,10 Mbbl per month,Free Market,$1706 million,3241 Mbbl,Untapped,Small,Arabia,United States,28705 km 2,http://blocgame.com/stats.php?id=54304,
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Elite,last online 6 hours ago,25 Hundred Tons per month,2 Mbbl per month,Central Planning,$1654 million,380 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,
Femtonesia,1101,Comintern,59k active personnel,0 ships,,Finest of the 19th century,Normal,1 factory,Standard,online now,37 Hundred Tons per month,5 Mbbl per month,Central Planning,$1619 million,170 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,39320 km 2,http://blocgame.com/stats.php?id=63083,
Newsoka,E Mark,The High Council,38k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,24 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1616 million,179 Mbbl,Untapped,Mediocre,Indochina,United States,22726 km 2,http://blocgame.com/stats.php?id=63105,
Morovistan,Gustave Bergher,The High Council,59k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 2 hours ago,16 Hundred Tons per month,13 Mbbl per month,Central Planning,$1589 million,3544 Mbbl; 13 Mbbl,Plentiful,Mediocre,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Rome Reloaded,Tiberius Ceaser,SPQR,58k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,online now,25 Hundred Tons per month,8 Mbbl per month,Central Planning,$1578 million,6724 Mbbl,,Mediocre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,1 Tons
Ekodebota,tfwqtp2tlgf|;3,The High Council,52k active personnel,0 ships,,Second World War surplus,Angelic,2 factories,Poor,online now,25 Hundred Tons per month,12 Mbbl per month,Central Planning,$1410 million,2708 Mbbl; 12 Mbbl,Plentiful,Powerful,Atlas,Soviet Union,30805 km 2,http://blocgame.com/stats.php?id=53422,
temasik,lawrence,SPQR,20k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,online now,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$1356 million,204 Mbbl; 2 Mbbl,,Mediocre,East Indies,United States,15537 km 2,http://blocgame.com/stats.php?id=62827,
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Good,last online 12 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$1356 million,4384 Mbbl,Untapped,Large,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,
constania,Comrade,Divine League,37k active personnel,0 ships,,Second World War surplus,Nice,1 factory,Elite,online now,14 Hundred Tons per month,6 Mbbl per month,Central Planning,$1348 million,177 Mbbl; 6 Mbbl,Untapped,Somewhat Large,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,
Asians,bigyihsuan,The High Council,54k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 16 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1346 million,352 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551,
Feffiopia,Serloks,Divine League,61k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 2 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$1344 million,179 Mbbl,,Mediocre,The Subcontinent,Soviet Union,23099 km 2,http://blocgame.com/stats.php?id=46505,
Biji Kurdistan,Myron2point0,Comintern,59k active personnel,0 ships,,Second World War surplus,Normal,1 factory,Good,last online 12 hours ago,10 Hundred Tons per month,10 Mbbl per month,Central Planning,$1340 million,3644 Mbbl; 10 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,25072 km 2,http://blocgame.com/stats.php?id=52906,
Cyleia,Silas Adar,The Order,81k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 11 hours ago,11 Hundred Tons per month,6 Mbbl per month,Free Market,$1336 million,522 Mbbl; 6 Mbbl,,Large,Mesoamerica,United States,28634 km 2,http://blocgame.com/stats.php?id=62784,
Uzbekistanstan,Shaikh Zayer,The Order,59k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,last online 7 hours ago,29 Hundred Tons per month,4 Mbbl per month,Free Market,$1311 million,494 Mbbl,Untapped,Mediocre,Congo,United States,38272 km 2,http://blocgame.com/stats.php?id=47207,
VinnyNation,VinnyRuler,Brotherhood of Zion,47k active personnel,0 ships,,Second World War surplus,Good,1 factory,Good,last online 6 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$1280 million,319 Mbbl; 4 Mbbl,Untapped,Small,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,
Lorigan,Lorigan,The High Council,49k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 11 hours ago,16 Hundred Tons per month,8 Mbbl per month,Central Planning,$1276 million,385 Mbbl; 8 Mbbl,Untapped,Mediocre,Amazonia,Soviet Union,36653 km 2,http://blocgame.com/stats.php?id=59787,
Morjei,FlairWoW,Brotherhood of Zion,78k active personnel,0 ships,,First World War surplus,Gandhi-like,3 factories,Standard,last online 3 hours ago,24 Hundred Tons per month,3 Mbbl per month,Central Planning,$1269 million,106 Mbbl; 3 Mbbl,Plentiful,Mediocre,Indochina,Soviet Union,41483 km 2,http://blocgame.com/stats.php?id=53068,
Cirno,jc99,The Federal Colonies,78k active personnel,0 ships,,First World War surplus,Gandhi-like,3 factories,Elite,online now,33 Hundred Tons per month,2 Mbbl per month,Free Market,$1261 million,278 Mbbl,Untapped,Mediocre,Caribbean,United States,39052 km 2,http://blocgame.com/stats.php?id=43375,
Ivalice,Nighthawk571,Interpol,59k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Good,online now,18 Hundred Tons per month,18 Mbbl per month,Central Planning,$1258 million,2731 Mbbl; 18 Mbbl,Plentiful,Mediocre,Arabia,Soviet Union,35726 km 2,http://blocgame.com/stats.php?id=63060,
Shambala,Feranon,Brotherhood of Nod,30k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$1241 million,230 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,31241 km 2,http://blocgame.com/stats.php?id=41268,1 Tons
LOCAI,Agumentic,Brotherhood of Nod,39k active personnel,1 ships,,First World War surplus,Gandhi-like,2 factories,Good,online now,8 Hundred Tons per month,3 Mbbl per month,Free Market,$1237 million,185 Mbbl; 3 Mbbl,Untapped,Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,
South Uganda,Dr. Idi Amin,Brotherhood of Zion,99k active personnel,2 ships,,Second World War surplus,Good,2 factories,Elite,last online 8 hours ago,30 Hundred Tons per month,5 Mbbl per month,Central Planning,$1235 million,422 Mbbl; 5 Mbbl,Untapped,Large,Southern Africa,Soviet Union,39393 km 2,http://blocgame.com/stats.php?id=63128,
al-Bahrayn,dbdb,The Order,60k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Elite,online now,7 Hundred Tons per month,8 Mbbl per month,Central Planning,$1221 million,1125 Mbbl; 8 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,32888 km 2,http://blocgame.com/stats.php?id=59775,
BongoBongoBongo,oBerry,The Order,39k active personnel,0 ships,,Finest of the 19th century,Gandhi-like,1 factory,Elite,last online 7 hours ago,26 Hundred Tons per month,5 Mbbl per month,Central Planning,$1221 million,251 Mbbl; 5 Mbbl,Untapped,Mediocre,Congo,Soviet Union,20923 km 2,http://blocgame.com/stats.php?id=63942,
