country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,206k active personnel,8 ships,Korean War surplus,Gandhi-like,6 factories,Standard,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$4522 million,49 Mbbl; 21 Mbbl,Untapped,Very Powerful,Indochina,Soviet Union,63033 km 2,http://blocgame.com/stats.php?id=63909,,
Sovngarde,Farron47,The Order,94k active personnel,11 ships,Korean War surplus,Gandhi-like,6 factories,Good,last online 1 hours ago,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$4279 million,510 Mbbl; 8 Mbbl,Plentiful,Very Powerful,East Indies,Soviet Union,48356 km 2,http://blocgame.com/stats.php?id=62626,,
Raja Udang,Mario,PIRATES,84k active personnel,7 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 13 hours ago,20 Hundred Tons per month,13 Mbbl per month,Free Market,$4202 million,429 Mbbl; 13 Mbbl,Near Depletion,Somewhat Large,Pacific Rim,Neutral,37190 km 2,http://blocgame.com/stats.php?id=61754,,
Morovistan,Gustave Bergher,SPQR,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 40 hours ago,23 Hundred Tons per month,19 Mbbl per month,Central Planning,$4147 million,5153 Mbbl; 19 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
USSR,CommissarBrian,The Order,99k active personnel,0 ships,Korean War surplus,Gandhi-like,7 factories,Elite,last online 6 hours ago,39 Hundred Tons per month,8 Mbbl per month,Central Planning,$4125 million,27 Mbbl; 8 Mbbl,Untapped,Large,China,Soviet Union,48847 km 2,http://blocgame.com/stats.php?id=54182,,
Jemut,iwaniman/Ferozz,PIRATES,104k active personnel,8 ships,Korean War surplus,Normal,6 factories,Elite,last online 4 hours ago,27 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$4046 million,50 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,45619 km 2,http://blocgame.com/stats.php?id=61811,,
Tuonela,Beelzebub,The Order,98k active personnel,4 ships,Korean War surplus,Gandhi-like,4 factories,Elite,online now,43 Hundred Tons per month,3 Mbbl per month,Central Planning,$3993 million,287 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,45310 km 2,http://blocgame.com/stats.php?id=389,,
LOCAI,Agumentic,Brotherhood of Nod,79k active personnel,3 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 1 hours ago,12 Hundred Tons per month,6 Mbbl per month,Free Market,$3981 million,184 Mbbl; 6 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,1 Tons,
temasik,lawrence,SPQR,15k active personnel,2 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 13 hours ago,4 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$3901 million,456 Mbbl,Near Depletion,Mediocre,East Indies,United States,11916 km 2,http://blocgame.com/stats.php?id=62827,,
Markovia,RDM HC,The Federal Colonies,118k active personnel,8 ships,Korean War surplus,Gandhi-like,4 factories,Elite,online now,36 Hundred Tons per month,17 Mbbl per month,Free Market,$3825 million,367 Mbbl; 17 Mbbl,Untapped,Very Powerful,Caribbean,United States,42564 km 2,http://blocgame.com/stats.php?id=58369,,
Ken no Taiyou,Hikari,The Order,69k active personnel,6 ships,Second World War surplus,Gandhi-like,4 factories,Elite,online now,9 Hundred Tons per month,35 Mbbl per month,Mixed Economy,$3734 million,2456 Mbbl; 35 Mbbl,Untapped,Very Powerful,Persia,Soviet Union,32081 km 2,http://blocgame.com/stats.php?id=64029,,
Uzbekistanstan,Shaikh Zayer,The Order,99k active personnel,3 ships,Korean War surplus,Gandhi-like,4 factories,Elite,online now,57 Hundred Tons per month,5 Mbbl per month,Free Market,$3707 million,255 Mbbl,Untapped,Very Powerful,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
Mirah,Filzah,The Order,127k active personnel,12 ships,Korean War surplus,Gandhi-like,4 factories,Good,online now,25 Hundred Tons per month,12 Mbbl per month,Central Planning,$3701 million,387 Mbbl; 12 Mbbl,Untapped,Very Powerful,China,Soviet Union,29729 km 2,http://blocgame.com/stats.php?id=64191,,
Conferan,Cryptox,The Order,119k active personnel,2 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 5 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$3666 million,278 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,54575 km 2,http://blocgame.com/stats.php?id=56710,,
Rome Reloaded,Tiberius Ceaser,SPQR,54k active personnel,6 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 9 hours ago,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$3600 million,4654 Mbbl,Near Depletion,Powerful,Mesopotamia,Soviet Union,12961 km 2,http://blocgame.com/stats.php?id=1421,,
