country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,269k active personnel,1 ships,5%,First World War surplus,Gandhi-like,5 factories,Standard,online now,35 Hundred Tons per month,61 Mbbl per month,Free Market,$1841 million,4441 Mbbl; 61 Mbbl,Near Depletion,Powerful,Mesopotamia,United States,39945 km 2,http://blocgame.com/stats.php?id=61626,
Platypus Island,Mark0Polo,SPQR,55k active personnel,0 ships,,First World War surplus,Nice,2 factories,Elite,last online 3 hours ago,23 Hundred Tons per month,20 Mbbl per month,Central Planning,$1731 million,681 Mbbl; 20 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Elite,last online 5 hours ago,24 Hundred Tons per month,2 Mbbl per month,Central Planning,$1579 million,384 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,
Newsoka,E Mark,The High Council,50k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,21 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1542 million,199 Mbbl,Plentiful,Mediocre,Indochina,United States,22726 km 2,http://blocgame.com/stats.php?id=63105,
Morovistan,Gustave Bergher,The High Council,59k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 2 hours ago,16 Hundred Tons per month,13 Mbbl per month,Central Planning,$1509 million,3570 Mbbl; 13 Mbbl,Plentiful,Mediocre,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Rome Reloaded,Tiberius Ceaser,SPQR,58k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,online now,24 Hundred Tons per month,8 Mbbl per month,Central Planning,$1508 million,6740 Mbbl,,Meagre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,1 Tons
temasik,lawrence,,7k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$1337 million,2 Mbbl,Untapped,Mediocre,East Indies,United States,15851 km 2,http://blocgame.com/stats.php?id=62827,
Femtonesia,1101,Comintern,59k active personnel,0 ships,,First World War surplus,Normal,1 factory,Standard,online now,32 Hundred Tons per month,5 Mbbl per month,Central Planning,$1310 million,180 Mbbl; 5 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,37683 km 2,http://blocgame.com/stats.php?id=63083,
Feffiopia,Serloks,Divine League,79k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 8 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$1288 million,191 Mbbl,,Mediocre,The Subcontinent,Soviet Union,22834 km 2,http://blocgame.com/stats.php?id=46505,
Asians,bigyihsuan,The High Council,44k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Poor,last online 9 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1284 million,356 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551,
Cyleia,Silas Adar,The Order,81k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 2 hours ago,11 Hundred Tons per month,6 Mbbl per month,Free Market,$1281 million,534 Mbbl; 6 Mbbl,,Somewhat Large,Mesoamerica,United States,28634 km 2,http://blocgame.com/stats.php?id=62784,
Biji Kurdistan,Myron2point0,Comintern,59k active personnel,0 ships,,Second World War surplus,Questionable,1 factory,Good,last online 14 hours ago,10 Hundred Tons per month,10 Mbbl per month,Central Planning,$1280 million,3664 Mbbl; 10 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,25072 km 2,http://blocgame.com/stats.php?id=52906,
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Good,last online 6 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$1269 million,4398 Mbbl,Untapped,Large,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,
Jebawka,Shetay,The Order,78k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Standard,last online 13 hours ago,11 Hundred Tons per month,10 Mbbl per month,Free Market,$1249 million,2749 Mbbl,Untapped,Small,Arabia,United States,24365 km 2,http://blocgame.com/stats.php?id=54304,
Uzbekistanstan,Shaikh Zayer,The Order,59k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,last online 6 hours ago,27 Hundred Tons per month,4 Mbbl per month,Free Market,$1248 million,502 Mbbl,Untapped,Mediocre,Congo,United States,38272 km 2,http://blocgame.com/stats.php?id=47207,
