country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Platypus Island,Mark0Polo,SPQR,55k active personnel,0 ships,First World War surplus,Angelic,3 factories,Elite,last online 8 hours ago,23 Hundred Tons per month,21 Mbbl per month,Central Planning,$1845 million,620 Mbbl; 21 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Tamarlania,Vagrant,The High Council,269k active personnel,1 ships,First World War surplus,Angelic,5 factories,Standard,last online 16 hours ago,35 Hundred Tons per month,61 Mbbl per month,Free Market,$1786 million,4258 Mbbl; 61 Mbbl,Near Depletion,Powerful,Mesopotamia,United States,39945 km 2,http://blocgame.com/stats.php?id=61626,5%,
Jebawka,Shetay,The Order,78k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 3 hours ago,11 Hundred Tons per month,10 Mbbl per month,Free Market,$1715 million,3231 Mbbl,Untapped,Small,Arabia,United States,28705 km 2,http://blocgame.com/stats.php?id=54304,,
Tuonela,Beelzebub,The Order,54k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,26 Hundred Tons per month,2 Mbbl per month,Central Planning,$1693 million,378 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,,
Femtonesia,1101,Comintern,59k active personnel,0 ships,Finest of the 19th century,Normal,1 factory,Standard,last online 3 hours ago,37 Hundred Tons per month,5 Mbbl per month,Central Planning,$1659 million,165 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,39320 km 2,http://blocgame.com/stats.php?id=63083,,
Newsoka,E Mark,The High Council,38k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 15 hours ago,24 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1656 million,169 Mbbl,Untapped,Mediocre,Indochina,United States,22726 km 2,http://blocgame.com/stats.php?id=63105,,
Morovistan,Gustave Bergher,The High Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,16 Hundred Tons per month,13 Mbbl per month,Central Planning,$1629 million,3531 Mbbl; 13 Mbbl,Untapped,Somewhat Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Rome Reloaded,Tiberius Ceaser,SPQR,58k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 8 hours ago,25 Hundred Tons per month,8 Mbbl per month,Central Planning,$1613 million,6716 Mbbl,Plentiful,Mediocre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,,1 Tons
Ekodebota,tfwqtp2tlgf|;3,The High Council,52k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Poor,online now,25 Hundred Tons per month,13 Mbbl per month,Central Planning,$1416 million,2695 Mbbl; 13 Mbbl,Untapped,Powerful,Atlas,Soviet Union,30805 km 2,http://blocgame.com/stats.php?id=53422,,
German Empire,Frederick the Great,SPQR,40k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,online now,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$1401 million,4377 Mbbl,Untapped,Powerful,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,,
temasik,lawrence,SPQR,18k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,online now,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$1396 million,555 Mbbl; 2 Mbbl,,Mediocre,East Indies,United States,15382 km 2,http://blocgame.com/stats.php?id=62827,,
constania,Comrade,Divine League,37k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Elite,online now,15 Hundred Tons per month,6 Mbbl per month,Central Planning,$1389 million,171 Mbbl; 6 Mbbl,Untapped,Somewhat Large,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,,
North Nubia,Sean Tony,,109k active personnel,1 ships,First World War surplus,Gandhi-like,3 factories,Good,online now,26 Hundred Tons per month,10 Mbbl per month,Central Planning,$1385 million,178 Mbbl; 10 Mbbl,Plentiful,Small,Congo,Soviet Union,24360 km 2,http://blocgame.com/stats.php?id=63084,,
Asians,bigyihsuan,The High Council,54k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 28 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1377 million,350 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551,,
