country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
TheDarkSide,LordVader,The Divine Council,141k active personnel,3 ships,Vietnam War surplus,Gandhi-like,3 factories,Poor,last online 2 hours ago,27 Hundred Tons per month,3 Mbbl per month,Central Planning,$4185 million,948 Mbbl; 3 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,83464 km 2,http://blocgame.com/stats.php?id=63139,,
Platypus Island,Mark0Polo,SPQR,262k active personnel,8 ships,Korean War surplus,Gandhi-like,5 factories,Poor,last online 3 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$3960 million,21 Mbbl,,Very Powerful,Indochina,Soviet Union,43316 km 2,http://blocgame.com/stats.php?id=63909,,
Raja Udang,Mario,PIRATES,24k active personnel,7 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 33 hours ago,18 Hundred Tons per month,8 Mbbl per month,Free Market,$3824 million,85 Mbbl; 8 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,37565 km 2,http://blocgame.com/stats.php?id=61754,,
Morovistan,Gustave Bergher,The Divine Council,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 1 hours ago,22 Hundred Tons per month,17 Mbbl per month,Central Planning,$3598 million,5355 Mbbl; 17 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Sovngarde,Farron47,The Order,90k active personnel,8 ships,Korean War surplus,Nice,5 factories,Elite,online now,32 Hundred Tons per month,8 Mbbl per month,Central Planning,$3583 million,581 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,46762 km 2,http://blocgame.com/stats.php?id=62626,,
Tuonela,Beelzebub,The Order,118k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Elite,online now,40 Hundred Tons per month,3 Mbbl per month,Central Planning,$3529 million,320 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,,
Mirah,Filzah,The Order,127k active personnel,10 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 5 hours ago,25 Hundred Tons per month,12 Mbbl per month,Central Planning,$3448 million,519 Mbbl; 12 Mbbl,Untapped,Powerful,China,Soviet Union,29729 km 2,http://blocgame.com/stats.php?id=64191,,
LOCAI,Agumentic,Brotherhood of Nod,59k active personnel,3 ships,Second World War surplus,Gandhi-like,4 factories,Elite,online now,12 Hundred Tons per month,6 Mbbl per month,Free Market,$3349 million,250 Mbbl; 6 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,1 Tons,
Aasyria,David al-Assad,The Order,118k active personnel,8 ships,Second World War surplus,Gandhi-like,4 factories,Poor,last online 2 hours ago,35 Hundred Tons per month,17 Mbbl per month,Central Planning,$3262 million,4006 Mbbl,,Very Powerful,Mesopotamia,Soviet Union,45142 km 2,http://blocgame.com/stats.php?id=60967,,
Uzbekistanstan,Shaikh Zayer,The Order,99k active personnel,3 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 1 hours ago,53 Hundred Tons per month,5 Mbbl per month,Free Market,$3202 million,310 Mbbl,Untapped,Large,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
