country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
TheDarkSide,LordVader,The Divine Council,139k active personnel,3 ships,Korean War surplus,Nice,3 factories,Standard,online now,27 Hundred Tons per month,3 Mbbl per month,Central Planning,$4246 million,957 Mbbl; 3 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,85158 km 2,http://blocgame.com/stats.php?id=63139,,
Platypus Island,Mark0Polo,SPQR,208k active personnel,8 ships,Korean War surplus,Gandhi-like,5 factories,Standard,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$3907 million,11 Mbbl; 21 Mbbl,Near Depletion,Very Powerful,Indochina,Soviet Union,39822 km 2,http://blocgame.com/stats.php?id=63909,,
Raja Udang,Mario,PIRATES,33k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 31 hours ago,18 Hundred Tons per month,8 Mbbl per month,Free Market,$3627 million,109 Mbbl; 8 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,37944 km 2,http://blocgame.com/stats.php?id=61754,,
Morovistan,Gustave Bergher,The Divine Council,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 6 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$3462 million,3901 Mbbl; 13 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Sovngarde,Farron47,The Order,95k active personnel,6 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 5 hours ago,31 Hundred Tons per month,8 Mbbl per month,Central Planning,$3456 million,605 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,46383 km 2,http://blocgame.com/stats.php?id=62626,,
Tuonela,Beelzebub,The Order,116k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,38 Hundred Tons per month,3 Mbbl per month,Central Planning,$3430 million,329 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,,
Newsoka,E Mark,The Divine Council,2k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Poor,last online 17 hours ago,33 Hundred Tons per month,15 Mbbl per month,Mixed Economy,$3192 million,491 Mbbl,Untapped,Large,Indochina,United States,27051 km 2,http://blocgame.com/stats.php?id=63105,,
LOCAI,Agumentic,Brotherhood of Nod,59k active personnel,1 ships,Second World War surplus,Gandhi-like,4 factories,Good,last online 3 hours ago,11 Hundred Tons per month,6 Mbbl per month,Free Market,$3170 million,268 Mbbl; 6 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Aasyria,David al-Assad,The Order,98k active personnel,7 ships,Second World War surplus,Gandhi-like,4 factories,Poor,online now,35 Hundred Tons per month,17 Mbbl per month,Central Planning,$3151 million,4057 Mbbl,Plentiful,Very Powerful,Mesopotamia,Soviet Union,45142 km 2,http://blocgame.com/stats.php?id=60967,,
Junoma,VicReyes,Steel Brotherhood,77k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,20 Hundred Tons per month,5 Mbbl per month,Free Market,$3078 million,422 Mbbl,Untapped,Powerful,Southern Cone,United States,45159 km 2,http://blocgame.com/stats.php?id=40349,2 Tons,
