country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,88k active personnel,1 ships,Second World War surplus,Gandhi-like,5 factories,Elite,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$2983 million,237 Mbbl; 21 Mbbl,Untapped,Powerful,Indochina,Soviet Union,31274 km 2,http://blocgame.com/stats.php?id=63909,,
Morovistan,Gustave Bergher,The Divine Council,78k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 3 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$2982 million,4057 Mbbl; 13 Mbbl,,Large,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Tuonela,Beelzebub,The Order,74k active personnel,2 ships,Second World War surplus,Angelic,3 factories,Elite,last online 1 hours ago,31 Hundred Tons per month,3 Mbbl per month,Central Planning,$2939 million,365 Mbbl; 3 Mbbl,Untapped,Large,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,,
Batu putih,Harzan,The Federal Colonies,61k active personnel,4 ships,Second World War surplus,Questionable,3 factories,Elite,last online 4 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$2879 million,209 Mbbl,Depleted,Mediocre,East Indies,Soviet Union,16431 km 2,http://blocgame.com/stats.php?id=61926,,
whitmanistan,slim,The Order,87k active personnel,5 ships,Second World War surplus,Gandhi-like,5 factories,Elite,online now,17 Hundred Tons per month,9 Mbbl per month,Free Market,$2851 million,6662 Mbbl; 9 Mbbl,Untapped,Large,Mesopotamia,United States,60991 km 2,http://blocgame.com/stats.php?id=36344,,
Raja Udang,Mario,PIRATES,79k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 6 hours ago,18 Hundred Tons per month,8 Mbbl per month,Central Planning,$2826 million,224 Mbbl; 8 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,44686 km 2,http://blocgame.com/stats.php?id=61754,,
TheDarkSide,LordVader,The Divine Council,93k active personnel,5 ships,Korean War surplus,Angelic,2 factories,Standard,last online 6 hours ago,27 Hundred Tons per month,2 Mbbl per month,Central Planning,$2612 million,776 Mbbl; 2 Mbbl,,Very Powerful,East Indies,Soviet Union,70289 km 2,http://blocgame.com/stats.php?id=63139,1 Tons,
temasik,lawrence,SPQR,32k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 4 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$2490 million,903 Mbbl; 4 Mbbl,Near Depletion,Mediocre,East Indies,United States,18912 km 2,http://blocgame.com/stats.php?id=62827,,
LOCAI,Agumentic,Brotherhood of Nod,39k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,11 Hundred Tons per month,5 Mbbl per month,Free Market,$2480 million,335 Mbbl; 5 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Kosan,Whitearcher8,The Divine Council,66k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 6 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$2472 million,6660 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,34556 km 2,http://blocgame.com/stats.php?id=59227,,
