country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,206k active personnel,8 ships,Korean War surplus,Gandhi-like,6 factories,Standard,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$4573 million,70 Mbbl; 21 Mbbl,Untapped,Very Powerful,Indochina,Soviet Union,63033 km 2,http://blocgame.com/stats.php?id=63909,,
Sovngarde,Farron47,The Order,94k active personnel,11 ships,Korean War surplus,Gandhi-like,6 factories,Elite,last online 1 hours ago,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$4231 million,518 Mbbl; 8 Mbbl,Plentiful,Very Powerful,East Indies,Soviet Union,48356 km 2,http://blocgame.com/stats.php?id=62626,,
Raja Udang,Mario,PIRATES,84k active personnel,7 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 5 hours ago,20 Hundred Tons per month,13 Mbbl per month,Free Market,$4195 million,442 Mbbl; 13 Mbbl,Near Depletion,Somewhat Large,Pacific Rim,Neutral,37190 km 2,http://blocgame.com/stats.php?id=61754,,
Morovistan,Gustave Bergher,SPQR,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 33 hours ago,23 Hundred Tons per month,19 Mbbl per month,Central Planning,$4099 million,5172 Mbbl; 19 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
USSR,CommissarBrian,The Order,99k active personnel,0 ships,Korean War surplus,Gandhi-like,7 factories,Elite,last online 16 hours ago,39 Hundred Tons per month,8 Mbbl per month,Central Planning,$4065 million,35 Mbbl; 8 Mbbl,Untapped,Large,China,Soviet Union,48847 km 2,http://blocgame.com/stats.php?id=54182,,
Jemut,iwaniman/Ferozz,PIRATES,104k active personnel,8 ships,Korean War surplus,Questionable,6 factories,Good,last online 4 hours ago,27 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$4000 million,67 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,45619 km 2,http://blocgame.com/stats.php?id=61811,,
Tuonela,Beelzebub,The Order,102k active personnel,4 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 1 hours ago,42 Hundred Tons per month,3 Mbbl per month,Central Planning,$3932 million,290 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,45310 km 2,http://blocgame.com/stats.php?id=389,,
LOCAI,Agumentic,Brotherhood of Nod,79k active personnel,3 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 1 hours ago,12 Hundred Tons per month,6 Mbbl per month,Free Market,$3924 million,190 Mbbl; 6 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,1 Tons,
temasik,lawrence,SPQR,15k active personnel,2 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 6 hours ago,4 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$3840 million,460 Mbbl,Near Depletion,Mediocre,East Indies,United States,11916 km 2,http://blocgame.com/stats.php?id=62827,,
Markovia,RDM HC,The Federal Colonies,118k active personnel,8 ships,Korean War surplus,Gandhi-like,4 factories,Elite,online now,36 Hundred Tons per month,17 Mbbl per month,Free Market,$3785 million,254 Mbbl; 17 Mbbl,Untapped,Very Powerful,Caribbean,United States,42564 km 2,http://blocgame.com/stats.php?id=58369,,
