country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl
Sucanti,Draban,The Order,48k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 4 hours ago,9 Hundred Tons per month,3 Mbbl per month,Free Market,$363 million,342 Mbbl,Untapped,Meagre,Pacific Rim,United States,26798 km 2,http://www.blocgame.com/stats.php?id=49810
Ansari,Abad,The Khilafah,59k active personnel,0 ships,First World War surplus,Normal,2 factories,Standard,online now,15 Hundred Tons per month,2 Mbbl per month,Free Market,$399 million,38 Mbbl,Untapped,Small,Congo,United States,29071 km 2,http://www.blocgame.com/stats.php?id=50625
Agonda,Agonda,The Federal Colonies,59k active personnel,0 ships,First World War surplus,Nice,2 factories,Standard,last online 4 hours ago,12 Hundred Tons per month,3 Mbbl per month,Central Planning,$382 million,109 Mbbl; 3 Mbbl,Untapped,Meagre,China,Soviet Union,26360 km 2,http://www.blocgame.com/stats.php?id=51268
Zerram,Bilgorin,The Order,44k active personnel,0 ships,First World War surplus,Angelic,2 factories,Good,last online 4 hours ago,11 Hundred Tons per month,3 Mbbl per month,Central Planning,$310 million,379 Mbbl; 3 Mbbl,Untapped,None,Guinea,Soviet Union,30406 km 2,http://www.blocgame.com/stats.php?id=65344
Bombay,Bombay,Interpol,52k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 4 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$407 million,3605 Mbbl; 5 Mbbl,Untapped,Meagre,Arabia,Soviet Union,27986 km 2,http://www.blocgame.com/stats.php?id=51989
Grettistan,Grett,Brotherhood of Nod,49k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 4 hours ago,14 Hundred Tons per month,3 Mbbl per month,Central Planning,$445 million,169 Mbbl; 3 Mbbl,Plentiful,Meagre,Southern Africa,Soviet Union,29038 km 2,http://www.blocgame.com/stats.php?id=51214
Wussan,Handri,SPQR,41k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 4 hours ago,10 Hundred Tons per month,6 Mbbl per month,Central Planning,$369 million,968 Mbbl; 6 Mbbl,Untapped,None,Persia,Soviet Union,26868 km 2,http://www.blocgame.com/stats.php?id=50197
Magahion,Hira,Socialist Arab Union,47k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,10 Hundred Tons per month,1 Mbbl per month,Central Planning,$322 million,46 Mbbl; 1 Mbbl,Untapped,None,East Africa,Soviet Union,26567 km 2,http://www.blocgame.com/stats.php?id=65308
Channary,Kardal,The Order,43k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,12 Hundred Tons per month,2 Mbbl per month,Free Market,$441 million,83 Mbbl; 2 Mbbl,Untapped,Meagre,Caribbean,United States,28187 km 2,http://www.blocgame.com/stats.php?id=50479
Opandos,KllK,The Order,55k active personnel,0 ships,First World War surplus,Angelic,2 factories,Standard,last online 4 hours ago,10 Hundred Tons per month,3 Mbbl per month,Central Planning,$406 million,138 Mbbl; 3 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,39541 km 2,http://www.blocgame.com/stats.php?id=50208
Verbona,Omar,Interpol,49k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 4 hours ago,10 Hundred Tons per month,5 Mbbl per month,Central Planning,$342 million,2532 Mbbl; 5 Mbbl,Untapped,Meagre,Egypt,Soviet Union,26780 km 2,http://www.blocgame.com/stats.php?id=65345
Bowen,Rice,PIRATES,69k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,online now,10 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$381 million,3838 Mbbl; 6 Mbbl,Plentiful,None,Mesopotamia,Neutral,29109 km 2,http://www.blocgame.com/stats.php?id=50453
Rupina,Rupina,The Federal Colonies,49k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 4 hours ago,10 Hundred Tons per month,2 Mbbl per month,Free Market,$429 million,474 Mbbl; 2 Mbbl,Plentiful,Mediocre,Gran Colombia,United States,32609 km 2,http://www.blocgame.com/stats.php?id=50287
Tiad,Sizzle,Brotherhood of Nod,49k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 4 hours ago,11 Hundred Tons per month,6 Mbbl per month,Central Planning,$435 million,2569 Mbbl; 6 Mbbl,Untapped,None,Atlas,Soviet Union,34967 km 2,http://www.blocgame.com/stats.php?id=50332
Xelegor,Steph,The Order,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 4 hours ago,12 Hundred Tons per month,2 Mbbl per month,Free Market,$386 million,505 Mbbl; 2 Mbbl,Untapped,Meagre,Amazonia,United States,34710 km 2,http://www.blocgame.com/stats.php?id=65347
Pegrram,Unhold,The Order,58k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 4 hours ago,10 Hundred Tons per month,2 Mbbl per month,Central Planning,$413 million,620 Mbbl; 2 Mbbl,,Small,Guinea,Soviet Union,23007 km 2,http://www.blocgame.com/stats.php?id=65383
Jibid,Varramor,The Order,59k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 4 hours ago,10 Hundred Tons per month,1 Mbbl per month,Central Planning,$402 million,248 Mbbl; 1 Mbbl,Untapped,None,Indochina,Soviet Union,26232 km 2,http://www.blocgame.com/stats.php?id=65373
grapondiu,yamado,The Order,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 4 hours ago,12 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$347 million,1432 Mbbl; 2 Mbbl,Untapped,None,West Africa,Soviet Union,29025 km 2,http://www.blocgame.com/stats.php?id=65382
Igguana,Yerram,The Order,58k active personnel,0 ships,First World War surplus,Good,2 factories,Standard,last online 4 hours ago,12 Hundred Tons per month,3 Mbbl per month,Central Planning,$401 million,34 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,26655 km 2,http://www.blocgame.com/stats.php?id=65310
Menodux,Suferio,The Khilafah,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 4 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$327 million,5368 Mbbl; 5 Mbbl,Untapped,None,Egypt,Soviet Union,26266 km 2,http://www.blocgame.com/stats.php?id=65396
Origanium,Kallima,The Order,64k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 4 hours ago,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$333 million,403 Mbbl; 4 Mbbl,Plentiful,Meagre,The Subcontinent,Soviet Union,21890 km 2,http://www.blocgame.com/stats.php?id=65399
Costapilia,Iridom,The Order,47k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 4 hours ago,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$344 million,1977 Mbbl; 5 Mbbl,Untapped,None,Arabia,Soviet Union,20755 km 2,http://www.blocgame.com/stats.php?id=65400
