country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Tuonela,Beelzebub,The Order,120k active personnel,9 ships,Korean War surplus,Gandhi-like,7 factories,Elite,last online 8 hours ago,45 Hundred Tons per month,3 Mbbl per month,Central Planning,$7395 million,276 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,62884 km 2,http://blocgame.com/stats.php?id=389,,
USSR,CommissarBrian,The Order,54k active personnel,0 ships,Korean War surplus,Gandhi-like,10 factories,Elite,last online 5 hours ago,39 Hundred Tons per month,9 Mbbl per month,Central Planning,$6995 million,17 Mbbl; 9 Mbbl,Untapped,Very Powerful,China,Soviet Union,54281 km 2,http://blocgame.com/stats.php?id=54182,,
Conferan,Cryptox,The Order,199k active personnel,12 ships,Vietnam War surplus,Angelic,6 factories,Elite,last online 1 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$6398 million,283 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,82521 km 2,http://blocgame.com/stats.php?id=56710,,
Shambala,Feranon,Brotherhood of Nod,98k active personnel,4 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 1 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$5835 million,468 Mbbl; 5 Mbbl,Untapped,Powerful,Pacific Rim,Soviet Union,37105 km 2,http://blocgame.com/stats.php?id=41268,5%,
Sovngarde,Farron47,The Order,20k active personnel,15 ships,Korean War surplus,Pariah,3 factories,Undisciplined Rabble,online now,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$5610 million,206 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,34863 km 2,http://blocgame.com/stats.php?id=62626,,
LOCAI,Agumentic,Brotherhood of Nod,77k active personnel,14 ships,Korean War surplus,Gandhi-like,6 factories,Elite,online now,12 Hundred Tons per month,8 Mbbl per month,Free Market,$5608 million,353 Mbbl; 8 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36708 km 2,http://blocgame.com/stats.php?id=53011,,
Markovia,RDM HC,The Federal Colonies,149k active personnel,14 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 5 hours ago,40 Hundred Tons per month,,Free Market,$5488 million,,Untapped,Very Powerful,Caribbean,United States,44119 km 2,http://blocgame.com/stats.php?id=58369,,4 Tons
Aminichina,doublepedaldylan,The Order,53k active personnel,5 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 12 hours ago,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$5417 million,900 Mbbl; 5 Mbbl,Untapped,Large,Indochina,Soviet Union,35803 km 2,http://blocgame.com/stats.php?id=56720,,
Morovistan,Gustave Bergher,SPQR,43k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 30 hours ago,25 Hundred Tons per month,19 Mbbl per month,Central Planning,$5362 million,4640 Mbbl; 19 Mbbl,Depleted,Very Powerful,Mesopotamia,Soviet Union,29717 km 2,http://blocgame.com/stats.php?id=62905,,
Platypus Island,Mark0Polo,SPQR,9k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Poor,last online 61 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$5226 million,21 Mbbl,Plentiful,Meagre,Indochina,Soviet Union,46845 km 2,http://blocgame.com/stats.php?id=63909,,
Tamarlania,Vagrant,The Order,133k active personnel,51 ships,Korean War surplus,Gandhi-like,8 factories,Elite,last online 6 hours ago,74 Hundred Tons per month,67 Mbbl per month,Free Market,$5075 million,1878 Mbbl,Untapped,Very Powerful,Mesopotamia,Neutral,63802 km 2,http://blocgame.com/stats.php?id=61626,5%,
Coccoladia,Ernesto Caprone,The Federal Colonies,79k active personnel,1 ships,Korean War surplus,Angelic,4 factories,Standard,last online 12 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$5072 million,2 Mbbl,Untapped,Very Powerful,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,
TheDarkSide,LordVader,Misanthropics,110k active personnel,11 ships,Almost Modern,Questionable,4 factories,Undisciplined Rabble,online now,24 Hundred Tons per month,4 Mbbl per month,Central Planning,$5065 million,372 Mbbl; 4 Mbbl,Plentiful,Very Powerful,East Indies,Neutral,44194 km 2,http://blocgame.com/stats.php?id=63139,,
Uzbekistanstan,Shaikh Zayer,The Order,87k active personnel,9 ships,Korean War surplus,Gandhi-like,6 factories,Elite,last online 10 hours ago,59 Hundred Tons per month,5 Mbbl per month,Free Market,$5057 million,120 Mbbl,Untapped,Powerful,Congo,United States,42281 km 2,http://blocgame.com/stats.php?id=47207,,
Ferma,President Jacobo Vincenzo,The Order,9k active personnel,7 ships,Vietnam War surplus,Gandhi-like,3 factories,Good,last online 7 hours ago,25 Hundred Tons per month,,Free Market,$5034 million,266 Mbbl,Near Depletion,Meagre,Southern Cone,United States,40611 km 2,http://blocgame.com/stats.php?id=58784,,
Jemut,iwaniman/Ferozz,PIRATES,8k active personnel,4 ships,Second World War surplus,Gandhi-like,6 factories,Good,last online 6 hours ago,27 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$4911 million,3 Mbbl,Depleted,Mediocre,East Indies,Soviet Union,42203 km 2,http://blocgame.com/stats.php?id=61811,,
Asians,bigyihsuan,The Order,89k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 8 hours ago,11 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$4872 million,42 Mbbl; 5 Mbbl,Untapped,Large,Pacific Rim,United States,7992 km 2,http://blocgame.com/stats.php?id=41551,,
Cirno,jc99,The Federal Colonies,185k active personnel,12 ships,Korean War surplus,Nice,8 factories,Poor,online now,34 Hundred Tons per month,2 Mbbl per month,Central Planning,$4844 million,154 Mbbl,Plentiful,Very Powerful,Caribbean,Soviet Union,41625 km 2,http://blocgame.com/stats.php?id=43375,,
Cubania,General Fidelis,The Order,126k active personnel,4 ships,Vietnam War surplus,Angelic,8 factories,Good,last online 6 hours ago,60 Hundred Tons per month,18 Mbbl per month,Central Planning,$4808 million,18 Mbbl,Untapped,Very Powerful,Mesoamerica,Soviet Union,61756 km 2,http://blocgame.com/stats.php?id=47349,,
Lorigan,Lorigan,Interpol,128k active personnel,6 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 4 hours ago,29 Hundred Tons per month,10 Mbbl per month,Central Planning,$4800 million,113 Mbbl; 10 Mbbl,Plentiful,Large,Amazonia,Soviet Union,43631 km 2,http://blocgame.com/stats.php?id=59787,,
Hitlerwasright,Louis C Cuck,The Order,118k active personnel,11 ships,Vietnam War surplus,Gandhi-like,5 factories,Good,last online 1 hours ago,35 Hundred Tons per month,25 Mbbl per month,Free Market,$4796 million,8970 Mbbl,Untapped,Very Powerful,Arabia,United States,33337 km 2,http://blocgame.com/stats.php?id=59621,,
SettingMoon,Hawk,The Order,36k active personnel,11 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 13 hours ago,16 Hundred Tons per month,5 Mbbl per month,Central Planning,$4730 million,207 Mbbl; 5 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,18007 km 2,http://blocgame.com/stats.php?id=62839,,
Brutish Empire,DarkyDonno,Brotherhood of Nod,99k active personnel,0 ships,Korean War surplus,Gandhi-like,6 factories,Elite,last online 5 hours ago,31 Hundred Tons per month,13 Mbbl per month,Central Planning,$4617 million,13 Mbbl,Untapped,Large,China,Soviet Union,32549 km 2,http://blocgame.com/stats.php?id=57265,,
VinnyNation,VinnyRuler,Brotherhood of Nod,71k active personnel,3 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 7 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$4616 million,125 Mbbl; 7 Mbbl,Untapped,Large,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
Crayola,baker greg,The Order,158k active personnel,2 ships,Second World War surplus,Gandhi-like,6 factories,Standard,last online 21 hours ago,33 Hundred Tons per month,23 Mbbl per month,Central Planning,$4564 million,4150 Mbbl; 23 Mbbl,Untapped,Very Powerful,Egypt,United States,60719 km 2,http://blocgame.com/stats.php?id=63958,,
Ekodebota,tfwqtp2tlgf|;3,Interpol,139k active personnel,11 ships,Vietnam War surplus,Gandhi-like,5 factories,Good,last online 6 hours ago,41 Hundred Tons per month,19 Mbbl per month,Central Planning,$4554 million,10325 Mbbl; 19 Mbbl,Untapped,Very Powerful,Atlas,Soviet Union,48510 km 2,http://blocgame.com/stats.php?id=53422,,1 Tons
Tanah Malaya,Syahmi1089,PIRATES,70k active personnel,11 ships,Korean War surplus,Gandhi-like,4 factories,Good,online now,15 Hundred Tons per month,9 Mbbl per month,Free Market,$4518 million,1161 Mbbl,Untapped,Very Powerful,Arabia,United States,21409 km 2,http://blocgame.com/stats.php?id=60385,,
KingBding,King B,The Order,40k active personnel,6 ships,Korean War surplus,Gandhi-like,3 factories,Poor,last online 11 hours ago,19 Hundred Tons per month,3 Mbbl per month,Central Planning,$4516 million,110 Mbbl; 3 Mbbl,Untapped,Very Powerful,Southern Africa,Soviet Union,24989 km 2,http://blocgame.com/stats.php?id=63205,,
Opallia,Opal,The Order,113k active personnel,14 ships,Korean War surplus,Angelic,4 factories,Elite,last online 4 hours ago,37 Hundred Tons per month,6 Mbbl per month,Free Market,$4514 million,249 Mbbl,Untapped,Very Powerful,Mesoamerica,United States,55026 km 2,http://blocgame.com/stats.php?id=63666,,1 Tons
Pan-demo-nium,Raja,The Order,89k active personnel,8 ships,Second World War surplus,Gandhi-like,6 factories,Standard,last online 9 hours ago,11 Hundred Tons per month,2 Mbbl per month,Central Planning,$4497 million,453 Mbbl; 2 Mbbl,Untapped,Large,The Subcontinent,Soviet Union,27757 km 2,http://blocgame.com/stats.php?id=63195,,
temasik,lawrence,SPQR,10k active personnel,2 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 24 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$4443 million,313 Mbbl,Near Depletion,Mediocre,East Indies,United States,7794 km 2,http://blocgame.com/stats.php?id=62827,,
