country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,59k active personnel,1 ships,5%,First World War surplus,Gandhi-like,5 factories,Elite,last online 25 hours ago,11 Hundred Tons per month,61 Mbbl per month,Free Market,$1811 million,4624 Mbbl,Untapped,Large,Mesopotamia,United States,40045 km 2,http://blocgame.com/stats.php?id=61626,
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Elite,online now,24 Hundred Tons per month,2 Mbbl per month,Central Planning,$1474 million,390 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,
Newsoka,E Mark,The High Council,50k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,18 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1446 million,229 Mbbl,,Mediocre,Indochina,United States,22726 km 2,http://blocgame.com/stats.php?id=63105,
Platypus Island,Mark0Polo,SPQR,55k active personnel,0 ships,,First World War surplus,Normal,2 factories,Elite,last online 2 hours ago,22 Hundred Tons per month,20 Mbbl per month,Central Planning,$1406 million,699 Mbbl; 20 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,27471 km 2,http://blocgame.com/stats.php?id=63909,
Rome Reloaded,Tiberius Ceaser,SPQR,32k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 2 hours ago,21 Hundred Tons per month,6 Mbbl per month,Central Planning,$1390 million,6760 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,
Morovistan,Gustave Bergher,The High Council,39k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,16 Hundred Tons per month,13 Mbbl per month,Central Planning,$1385 million,3609 Mbbl; 13 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Jebawka,Shetay,The Order,78k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Standard,last online 6 hours ago,11 Hundred Tons per month,9 Mbbl per month,Free Market,$1245 million,2778 Mbbl,Untapped,Small,Arabia,United States,24365 km 2,http://blocgame.com/stats.php?id=54304,
Feffiopia,Serloks,Divine League,79k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 6 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$1204 million,209 Mbbl,Near Depletion,Mediocre,The Subcontinent,Soviet Union,22834 km 2,http://blocgame.com/stats.php?id=46505,
Femtonesia,1101,Comintern,59k active personnel,0 ships,,Finest of the 19th century,Questionable,1 factory,Standard,last online 2 hours ago,27 Hundred Tons per month,2 Mbbl per month,Central Planning,$1193 million,190 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,37683 km 2,http://blocgame.com/stats.php?id=63083,
Biji Kurdistan,Myron2point0,Comintern,59k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 5 hours ago,10 Hundred Tons per month,10 Mbbl per month,Central Planning,$1190 million,3694 Mbbl; 10 Mbbl,Plentiful,Powerful,Mesopotamia,Soviet Union,25072 km 2,http://blocgame.com/stats.php?id=52906,
