country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Tuonela,Beelzebub,The Order,115k active personnel,9 ships,Korean War surplus,Gandhi-like,7 factories,Elite,online now,45 Hundred Tons per month,3 Mbbl per month,Central Planning,$6756 million,309 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,62884 km 2,http://blocgame.com/stats.php?id=389,,
Jemut,iwaniman/Ferozz,PIRATES,60k active personnel,8 ships,Korean War surplus,Questionable,7 factories,Good,last online 2 hours ago,27 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$5377 million,211 Mbbl,Untapped,Very Powerful,East Indies,Neutral,52570 km 2,http://blocgame.com/stats.php?id=61811,,
Platypus Island,Mark0Polo,SPQR,10k active personnel,5 ships,Second World War surplus,Normal,5 factories,Good,last online 10 hours ago,40 Hundred Tons per month,21 Mbbl per month,Mixed Economy,$4980 million,41 Mbbl; 21 Mbbl,Near Depletion,None,Indochina,Neutral,68136 km 2,http://blocgame.com/stats.php?id=63909,,
USSR,CommissarBrian,The Order,50k active personnel,0 ships,Korean War surplus,Gandhi-like,9 factories,Elite,last online 13 hours ago,39 Hundred Tons per month,9 Mbbl per month,Central Planning,$5182 million,89 Mbbl; 9 Mbbl,Untapped,Powerful,China,Soviet Union,48069 km 2,http://blocgame.com/stats.php?id=54182,,
Markovia,RDM HC,The Federal Colonies,149k active personnel,12 ships,Korean War surplus,Gandhi-like,5 factories,Elite,online now,37 Hundred Tons per month,17 Mbbl per month,Free Market,$5045 million,98 Mbbl; 17 Mbbl,Untapped,Very Powerful,Caribbean,United States,44019 km 2,http://blocgame.com/stats.php?id=58369,,
Ferma,President Jacobo Vincenzo,The Order,86k active personnel,7 ships,Vietnam War surplus,Axis of Evil,3 factories,Good,online now,25 Hundred Tons per month,,Free Market,$4946 million,266 Mbbl,Untapped,Large,Southern Cone,United States,40611 km 2,http://blocgame.com/stats.php?id=58784,,
Sovngarde,Farron47,The Order,5k active personnel,14 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 10 hours ago,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$5388 million,347 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,42257 km 2,http://blocgame.com/stats.php?id=62626,,
LOCAI,Agumentic,Brotherhood of Nod,90k active personnel,6 ships,Korean War surplus,Gandhi-like,6 factories,Elite,online now,12 Hundred Tons per month,7 Mbbl per month,Free Market,$4933 million,81 Mbbl; 7 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36380 km 2,http://blocgame.com/stats.php?id=53011,,
Morovistan,Gustave Bergher,SPQR,98k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 16 hours ago,23 Hundred Tons per month,19 Mbbl per month,Central Planning,$4880 million,4849 Mbbl; 19 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Lorigan,Lorigan,Interpol,88k active personnel,5 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 3 hours ago,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$4576 million,207 Mbbl; 8 Mbbl,Untapped,Large,Amazonia,Soviet Union,43631 km 2,http://blocgame.com/stats.php?id=59787,,
