country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,71k active personnel,1 ships,Second World War surplus,Gandhi-like,5 factories,Elite,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$3092 million,195 Mbbl; 21 Mbbl,Untapped,Powerful,Indochina,Soviet Union,31594 km 2,http://blocgame.com/stats.php?id=63909,,
Morovistan,Gustave Bergher,The Divine Council,78k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 3 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$3062 million,4031 Mbbl; 13 Mbbl,Plentiful,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Tuonela,Beelzebub,The Order,78k active personnel,2 ships,Second World War surplus,Angelic,3 factories,Elite,last online 5 hours ago,31 Hundred Tons per month,3 Mbbl per month,Central Planning,$3030 million,359 Mbbl; 3 Mbbl,Untapped,Large,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,,
whitmanistan,slim,The Order,91k active personnel,5 ships,Second World War surplus,Gandhi-like,5 factories,Good,online now,17 Hundred Tons per month,9 Mbbl per month,Free Market,$2862 million,6644 Mbbl; 9 Mbbl,Untapped,Large,Mesopotamia,United States,60991 km 2,http://blocgame.com/stats.php?id=36344,,
Raja Udang,Mario,PIRATES,31k active personnel,0 ships,Second World War surplus,Angelic,3 factories,Good,online now,18 Hundred Tons per month,8 Mbbl per month,Central Planning,$2853 million,208 Mbbl; 8 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,43361 km 2,http://blocgame.com/stats.php?id=61754,,
Newsoka,E Mark,The Divine Council,39k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 7 hours ago,31 Hundred Tons per month,12 Mbbl per month,Mixed Economy,$2804 million,631 Mbbl,Plentiful,Somewhat Large,Indochina,United States,27578 km 2,http://blocgame.com/stats.php?id=63105,,
Eastasia,accounts being deleted,The Order,65k active personnel,2 ships,Korean War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$2729 million,925 Mbbl; 4 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,34461 km 2,http://blocgame.com/stats.php?id=63527,,
TheDarkSide,LordVader,The Divine Council,96k active personnel,5 ships,Korean War surplus,Angelic,2 factories,Standard,last online 1 hours ago,27 Hundred Tons per month,2 Mbbl per month,Central Planning,$2608 million,772 Mbbl; 2 Mbbl,,Very Powerful,East Indies,Soviet Union,71614 km 2,http://blocgame.com/stats.php?id=63139,1 Tons,
LOCAI,Agumentic,Brotherhood of Nod,39k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,11 Hundred Tons per month,5 Mbbl per month,Free Market,$2600 million,325 Mbbl; 5 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
temasik,lawrence,SPQR,32k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 35 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$2569 million,895 Mbbl; 4 Mbbl,Near Depletion,Mediocre,East Indies,United States,18912 km 2,http://blocgame.com/stats.php?id=62827,,
Uzbekistanstan,Shaikh Zayer,The Order,79k active personnel,3 ships,Second World War surplus,Angelic,3 factories,Elite,last online 5 hours ago,50 Hundred Tons per month,5 Mbbl per month,Free Market,$2566 million,375 Mbbl,Untapped,Large,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
Sovngarde,Farron47,The Order,82k active personnel,4 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 4 hours ago,28 Hundred Tons per month,7 Mbbl per month,Central Planning,$2547 million,560 Mbbl; 7 Mbbl,Untapped,Powerful,East Indies,Soviet Union,43859 km 2,http://blocgame.com/stats.php?id=62626,,
Tamarlania,Vagrant,The Order,139k active personnel,9 ships,Second World War surplus,Pariah,7 factories,Elite,last online 1 hours ago,70 Hundred Tons per month,67 Mbbl per month,Free Market,$2532 million,5275 Mbbl,Untapped,Very Powerful,Mesopotamia,United States,58382 km 2,http://blocgame.com/stats.php?id=61626,,5%
Kosan,Whitearcher8,The Divine Council,70k active personnel,0 ships,Korean War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$2527 million,6648 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,34556 km 2,http://blocgame.com/stats.php?id=59227,,
Asians,bigyihsuan,The Divine Council,48k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Poor,last online 10 hours ago,11 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$2523 million,225 Mbbl; 5 Mbbl,,Somewhat Large,Pacific Rim,United States,16191 km 2,http://blocgame.com/stats.php?id=41551,,
Mirah,Filzah,The Order,100k active personnel,7 ships,Second World War surplus,Gandhi-like,4 factories,Good,online now,23 Hundred Tons per month,12 Mbbl per month,Central Planning,$2483 million,352 Mbbl; 12 Mbbl,Untapped,Powerful,China,Soviet Union,26243 km 2,http://blocgame.com/stats.php?id=64191,,
Batu putih,Harzan,The Federal Colonies,0k active personnel,4 ships,Second World War surplus,Isolated,3 factories,Elite,last online 2 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$2480 million,166 Mbbl,Near Depletion,Meagre,East Indies,Soviet Union,13155 km 2,http://blocgame.com/stats.php?id=61926,,
VinnyNation,VinnyRuler,Brotherhood of Nod,47k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 5 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$2479 million,219 Mbbl; 4 Mbbl,Untapped,Somewhat Large,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
Aasyria,David al-Assad,The Order,78k active personnel,5 ships,Second World War surplus,Angelic,3 factories,Standard,last online 7 hours ago,27 Hundred Tons per month,15 Mbbl per month,Central Planning,$2380 million,3532 Mbbl,Plentiful,Very Powerful,Mesopotamia,Soviet Union,42439 km 2,http://blocgame.com/stats.php?id=60967,,
Ken no Taiyou,Hikari,The Order,39k active personnel,1 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 6 hours ago,9 Hundred Tons per month,31 Mbbl per month,Central Planning,$2336 million,1241 Mbbl; 31 Mbbl,Untapped,Large,Persia,Soviet Union,32081 km 2,http://blocgame.com/stats.php?id=64029,,
Markovia,RDM HC,The Federal Colonies,100k active personnel,5 ships,Second World War surplus,Angelic,3 factories,Elite,online now,25 Hundred Tons per month,12 Mbbl per month,Free Market,$2317 million,568 Mbbl; 12 Mbbl,Untapped,Powerful,Caribbean,United States,40901 km 2,http://blocgame.com/stats.php?id=58369,,
