country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Newsoka,E Mark,The High Council,50k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 17 hours ago,26 Hundred Tons per month,11 Mbbl per month,Mixed Economy,$1973 million,147 Mbbl,Untapped,Mediocre,Indochina,United States,24574 km 2,http://blocgame.com/stats.php?id=63105,,
Platypus Island,Mark0Polo,SPQR,55k active personnel,0 ships,First World War surplus,Gandhi-like,3 factories,Good,online now,23 Hundred Tons per month,21 Mbbl per month,Central Planning,$1928 million,657 Mbbl; 21 Mbbl,Untapped,Somewhat Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Tuonela,Beelzebub,The Order,54k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,28 Hundred Tons per month,2 Mbbl per month,Central Planning,$1773 million,374 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,,
Femtonesia,1101,Comintern,59k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Standard,online now,38 Hundred Tons per month,5 Mbbl per month,Central Planning,$1739 million,155 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,39320 km 2,http://blocgame.com/stats.php?id=63083,,
Jebawka,Shetay,The Order,86k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 3 hours ago,11 Hundred Tons per month,10 Mbbl per month,Free Market,$1733 million,3211 Mbbl,Untapped,Small,Arabia,United States,28705 km 2,http://blocgame.com/stats.php?id=54304,,
Tamarlania,Vagrant,The High Council,269k active personnel,1 ships,First World War surplus,Gandhi-like,5 factories,Standard,last online 17 hours ago,35 Hundred Tons per month,61 Mbbl per month,Free Market,$1713 million,4136 Mbbl; 61 Mbbl,Near Depletion,Powerful,Mesopotamia,United States,39945 km 2,http://blocgame.com/stats.php?id=61626,5%,
Morovistan,Gustave Bergher,The High Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,online now,16 Hundred Tons per month,13 Mbbl per month,Central Planning,$1709 million,3505 Mbbl; 13 Mbbl,Untapped,Somewhat Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Rome Reloaded,Tiberius Ceaser,SPQR,78k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,online now,25 Hundred Tons per month,8 Mbbl per month,Central Planning,$1660 million,6700 Mbbl,,Mediocre,Mesopotamia,Soviet Union,15568 km 2,http://blocgame.com/stats.php?id=1421,,1 Tons
Kyranistan,Michael Hussain,Comintern,38k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,9 Hundred Tons per month,8 Mbbl per month,Central Planning,$1497 million,5985 Mbbl; 8 Mbbl,Near Depletion,Large,Persia,Soviet Union,24069 km 2,http://blocgame.com/stats.php?id=61263,,
German Empire,Frederick the Great,SPQR,40k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 4 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$1491 million,4363 Mbbl,Untapped,Powerful,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,,
