country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl
Tamarlania,Vagrant,The High Council,39k active personnel,1 ships,First World War surplus,Nice,3 factories,Elite,last online 4 hours ago,3 Hundred Tons per month,38 Mbbl per month,Free Market,$792 million,5009 Mbbl,Untapped,Somewhat Large,1 Tons,Mesopotamia,United States,33442 km 2,http://blocgame.com/stats.php?id=61626
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,10 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$782 million,3795 Mbbl; 10 Mbbl,Plentiful,Meagre,,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905
Asians,bigyihsuan,The High Council,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 53 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$690 million,469 Mbbl; 2 Mbbl,Untapped,None,,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=41551
Tuonela,Beelzebub,The Order,53k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 5 hours ago,13 Hundred Tons per month,2 Mbbl per month,Central Planning,$687 million,218 Mbbl; 2 Mbbl,Untapped,Mediocre,,The Subcontinent,Soviet Union,34495 km 2,http://blocgame.com/stats.php?id=389
Derse Moon,Jack Noir,The Order,58k active personnel,3 ships,First World War surplus,Normal,5 factories,Elite,last online 6 hours ago,40 Hundred Tons per month,40 Mbbl per month,Free Market,$682 million,19372 Mbbl,,Very Powerful,,Egypt,United States,46625 km 2,http://blocgame.com/stats.php?id=62965
Khuzestan,Georgy Zhukov,The Federal Colonies,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,online now,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$674 million,2641 Mbbl; 4 Mbbl,Untapped,Mediocre,,Persia,Soviet Union,36081 km 2,http://blocgame.com/stats.php?id=48914
Eisen,Balthazaar,The Order,20k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,online now,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$674 million,398 Mbbl; 5 Mbbl,Untapped,Large,,China,Soviet Union,42762 km 2,http://blocgame.com/stats.php?id=53566
Mzab,Cuma Thurman,Brotherhood of Zion,38k active personnel,0 ships,First World War surplus,Isolated,1 factory,Elite,online now,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$674 million,4631 Mbbl; 5 Mbbl,Untapped,Small,,Atlas,Soviet Union,33829 km 2,http://blocgame.com/stats.php?id=63775
South Uganda,Dr. Idi Amin,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 5 hours ago,22 Hundred Tons per month,3 Mbbl per month,Central Planning,$673 million,455 Mbbl; 3 Mbbl,Untapped,Somewhat Large,,Southern Africa,Soviet Union,34970 km 2,http://blocgame.com/stats.php?id=63128
Darkstone,Trakel,The High Council,61k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,18 Hundred Tons per month,11 Mbbl per month,Central Planning,$672 million,5259 Mbbl; 11 Mbbl,Untapped,Mediocre,,Arabia,Soviet Union,35666 km 2,http://blocgame.com/stats.php?id=57176
al-Bahrayn,dbdb,The Order,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 8 hours ago,6 Hundred Tons per month,6 Mbbl per month,Central Planning,$667 million,990 Mbbl; 6 Mbbl,Untapped,Mediocre,,Mesopotamia,Soviet Union,30107 km 2,http://blocgame.com/stats.php?id=59775
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 2 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$667 million,4488 Mbbl,Untapped,Somewhat Large,,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053
Shambala,Feranon,Brotherhood of Nod,20k active personnel,0 ships,Finest of the 19th century,Angelic,1 factory,Elite,last online 2 hours ago,6 Hundred Tons per month,3 Mbbl per month,Central Planning,$666 million,306 Mbbl; 3 Mbbl,Untapped,Meagre,,Pacific Rim,Soviet Union,31241 km 2,http://blocgame.com/stats.php?id=41268
Gulam,Galak,PIRATES,49k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,5 Hundred Tons per month,5 Mbbl per month,Central Planning,$659 million,566 Mbbl; 5 Mbbl,Plentiful,Mediocre,,Pacific Rim,Soviet Union,34253 km 2,http://blocgame.com/stats.php?id=63645
