country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl,reactor
Asiana,El_Xanatos,The Divine Council,99k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 2 hours ago,33 Hundred Tons per month,7 Mbbl per month,Central Planning,$2787 million,284 Mbbl; 7 Mbbl,Plentiful,Large,,Indochina,Soviet Union,59453 km 2,http://blocgame.com/stats.php?id=62221,
Eastasia,accounts being deleted,The Order,72k active personnel,2 ships,Korean War surplus,Angelic,3 factories,Elite,last online 6 hours ago,11 Hundred Tons per month,6 Mbbl per month,Central Planning,$2770 million,879 Mbbl; 6 Mbbl,Untapped,Mediocre,,Pacific Rim,Soviet Union,34570 km 2,http://blocgame.com/stats.php?id=63527,
Byzantium,The Wolf,Steel Brotherhood,89k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Standard,last online 10 hours ago,34 Hundred Tons per month,14 Mbbl per month,Free Market,$2764 million,6256 Mbbl,Untapped,Very Powerful,,Mesopotamia,United States,42645 km 2,http://blocgame.com/stats.php?id=41125,
Hitlerwasright,Louis C Cuck,The Order,98k active personnel,0 ships,Korean War surplus,Gandhi-like,4 factories,Good,online now,35 Hundred Tons per month,25 Mbbl per month,Free Market,$2757 million,10020 Mbbl,,Large,,Arabia,United States,33237 km 2,http://blocgame.com/stats.php?id=59621,
Leinad,bloodywaffles12,The Order,99k active personnel,2 ships,Second World War surplus,Normal,3 factories,Good,last online 14 hours ago,14 Hundred Tons per month,10 Mbbl per month,Central Planning,$2735 million,578 Mbbl; 10 Mbbl,Untapped,Somewhat Large,,China,Soviet Union,21978 km 2,http://blocgame.com/stats.php?id=59332,
Batu putih,Harzan,The Federal Colonies,21k active personnel,4 ships,Second World War surplus,Good,3 factories,Elite,last online 4 hours ago,10 Hundred Tons per month,8 Mbbl per month,Central Planning,$2733 million,255 Mbbl,Near Depletion,Mediocre,,East Indies,Soviet Union,9045 km 2,http://blocgame.com/stats.php?id=61926,
Coccoladia,Ernesto Caprone,The Federal Colonies,38k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 13 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$2727 million,52 Mbbl; 2 Mbbl,Untapped,Large,,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,
USSR,CommissarBrian,The Order,79k active personnel,0 ships,Korean War surplus,Gandhi-like,6 factories,Poor,last online 24 hours ago,39 Hundred Tons per month,8 Mbbl per month,Central Planning,$2711 million,131 Mbbl; 8 Mbbl,Untapped,Small,,China,Soviet Union,47029 km 2,http://blocgame.com/stats.php?id=54182,
Morjei,FlairWoW,The Divine Council,74k active personnel,1 ships,Second World War surplus,Gandhi-like,6 factories,Standard,last online 8 hours ago,38 Hundred Tons per month,5 Mbbl per month,Central Planning,$2679 million,364 Mbbl; 5 Mbbl,Untapped,Very Powerful,,Indochina,Soviet Union,42900 km 2,http://blocgame.com/stats.php?id=53068,
Skekenhouse,Kraast,The Order,84k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 1 hours ago,37 Hundred Tons per month,16 Mbbl per month,Central Planning,$2661 million,4661 Mbbl; 16 Mbbl,Untapped,Very Powerful,,Mesopotamia,Soviet Union,56679 km 2,http://blocgame.com/stats.php?id=62962,
Markovia,RDM HC,The Federal Colonies,118k active personnel,6 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 3 hours ago,26 Hundred Tons per month,13 Mbbl per month,Free Market,$2659 million,454 Mbbl; 13 Mbbl,Untapped,Very Powerful,,Caribbean,United States,40901 km 2,http://blocgame.com/stats.php?id=58369,
Shambala,Feranon,Brotherhood of Nod,69k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$2654 million,60 Mbbl; 5 Mbbl,Untapped,Large,,Pacific Rim,Soviet Union,29711 km 2,http://blocgame.com/stats.php?id=41268,5%
nanas,nanas batu,The Divine Council,5k active personnel,3 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$2630 million,234 Mbbl; 7 Mbbl,Untapped,Mediocre,,East Indies,Neutral,25719 km 2,http://blocgame.com/stats.php?id=61809,
Brutish Empire,DarkyDonno,Brotherhood of Nod,99k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,27 Hundred Tons per month,11 Mbbl per month,Central Planning,$2617 million,29 Mbbl; 11 Mbbl,Plentiful,Large,,China,Soviet Union,33209 km 2,http://blocgame.com/stats.php?id=57265,
Harezland,Adam harez,The Order,61k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,11 Hundred Tons per month,10 Mbbl per month,Central Planning,$2592 million,199 Mbbl; 10 Mbbl,Untapped,Small,,Pacific Rim,Neutral,17061 km 2,http://blocgame.com/stats.php?id=60587,
Asians,bigyihsuan,The Divine Council,7k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 8 hours ago,11 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$2590 million,149 Mbbl; 5 Mbbl,Depleted,Small,,Pacific Rim,United States,13093 km 2,http://blocgame.com/stats.php?id=41551,
Alamo,linksith,SPQR,68k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 18 hours ago,11 Hundred Tons per month,3 Mbbl per month,Free Market,$2578 million,4338 Mbbl,Untapped,Large,,Mesopotamia,United States,16148 km 2,http://blocgame.com/stats.php?id=40536,
