country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl,reactor
Utea,SephiXarados,The Order,90k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 1 hours ago,30 Hundred Tons per month,6 Mbbl per month,Free Market,$1506 million,271 Mbbl,Untapped,Powerful,,Amazonia,United States,61785 km 2,http://blocgame.com/stats.php?id=49905,
Whadjuk,MarsOz,The Khilafah,75k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Good,online now,7 Hundred Tons per month,6 Mbbl per month,Central Planning,$1506 million,2159 Mbbl; 6 Mbbl,Plentiful,Large,,Mesopotamia,Soviet Union,10606 km 2,http://blocgame.com/stats.php?id=63576,
Yugoslothia,Yugoslothia,Brotherhood of Nod,71k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 4 hours ago,12 Hundred Tons per month,10 Mbbl per month,Free Market,$1505 million,3238 Mbbl,Untapped,Mediocre,,Egypt,United States,31284 km 2,http://blocgame.com/stats.php?id=55968,
Mangkok,MangkukHayun,The Divine Council,104k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Good,online now,21 Hundred Tons per month,15 Mbbl per month,Free Market,$1503 million,121 Mbbl,Plentiful,Somewhat Large,,East Indies,Neutral,50935 km 2,http://blocgame.com/stats.php?id=62210,
Kritch,Zorn,Steel Brotherhood,106k active personnel,1 ships,Second World War surplus,Good,2 factories,Elite,online now,30 Hundred Tons per month,11 Mbbl per month,Central Planning,$1502 million,393 Mbbl; 11 Mbbl,Untapped,Very Powerful,5 Tons,The Subcontinent,Soviet Union,45580 km 2,http://blocgame.com/stats.php?id=63155,
FreakTopia,Remington Steel,The Order,113k active personnel,1 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 10 hours ago,42 Hundred Tons per month,11 Mbbl per month,Free Market,$1501 million,732 Mbbl,Untapped,Powerful,,The Subcontinent,United States,51919 km 2,http://blocgame.com/stats.php?id=45527,
Wafflonia,Stellarwaffle,SPQR,84k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 3 hours ago,16 Hundred Tons per month,11 Mbbl per month,Central Planning,$1498 million,3897 Mbbl; 11 Mbbl,Untapped,Somewhat Large,,Egypt,Soviet Union,39410 km 2,http://blocgame.com/stats.php?id=63064,
Moneymaking,Bill Gates,Steel Brotherhood,46k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 5 hours ago,11 Hundred Tons per month,11 Mbbl per month,Free Market,$1498 million,1965 Mbbl; 11 Mbbl,Plentiful,Mediocre,,Arabia,United States,9360 km 2,http://blocgame.com/stats.php?id=64271,
Ceannesburg,theorange0,The Order,148k active personnel,11 ships,Second World War surplus,Gandhi-like,3 factories,Standard,last online 3 hours ago,24 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$1496 million,56 Mbbl,Untapped,Very Powerful,,Mesoamerica,United States,33487 km 2,http://blocgame.com/stats.php?id=56500,
AfganiBoy,CrazyDima,The United Nations,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Undisciplined Rabble,last online 5 hours ago,9 Hundred Tons per month,,Free Market,$1493 million,,Untapped,None,,Mesopotamia,United States,4425 km 2,http://blocgame.com/stats.php?id=62098,
Thimerica,Focus,Steel Brotherhood,31k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 16 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$1492 million,11 Mbbl; 2 Mbbl,Near Depletion,None,,Gran Colombia,Soviet Union,12691 km 2,http://blocgame.com/stats.php?id=62883,
Bruce Man,Bat Wayn,The Divine Council,61k active personnel,2 ships,Korean War surplus,Gandhi-like,2 factories,Elite,last online 10 hours ago,9 Hundred Tons per month,19 Mbbl per month,Central Planning,$1490 million,7127 Mbbl; 19 Mbbl,Untapped,Very Powerful,,Arabia,Soviet Union,46110 km 2,http://blocgame.com/stats.php?id=59564,
Robots,stormbot28,Interpol,80k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 9 hours ago,9 Hundred Tons per month,1 Mbbl per month,Free Market,$1486 million,141 Mbbl,Untapped,Large,,Caribbean,United States,18433 km 2,http://blocgame.com/stats.php?id=40242,
Vorcs,Aiman Nizam,PIRATES,117k active personnel,14 ships,Korean War surplus,Gandhi-like,3 factories,Elite,online now,16 Hundred Tons per month,11 Mbbl per month,Central Planning,$1480 million,57 Mbbl; 11 Mbbl,Untapped,Very Powerful,,East Indies,Soviet Union,36316 km 2,http://blocgame.com/stats.php?id=61955,
Persona-Grata,syafiqsudin,PIRATES,40k active personnel,5 ships,Second World War surplus,Angelic,3 factories,Good,last online 2 hours ago,22 Hundred Tons per month,9 Mbbl per month,Central Planning,$1476 million,225 Mbbl,Untapped,Large,,East Indies,Soviet Union,36436 km 2,http://blocgame.com/stats.php?id=60788,
House Tyrell,Mace Tyrell,SPQR,36k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 5 hours ago,7 Hundred Tons per month,7 Mbbl per month,Free Market,$1472 million,285 Mbbl; 7 Mbbl,Plentiful,Large,,Arabia,United States,6371 km 2,http://blocgame.com/stats.php?id=64093,
Iwo Jima,Tadamichi Kuribayashi,The Order,144k active personnel,5 ships,Second World War surplus,Gandhi-like,4 factories,Good,last online 8 hours ago,33 Hundred Tons per month,13 Mbbl per month,Central Planning,$1471 million,385 Mbbl; 13 Mbbl,Plentiful,Powerful,,Pacific Rim,Soviet Union,55353 km 2,http://blocgame.com/stats.php?id=63259,
720instaswap,TM0n3y,,7k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 102 hours ago,6 Hundred Tons per month,3 Mbbl per month,Central Planning,$1470 million,1778 Mbbl; 3 Mbbl,Untapped,Small,,Persia,Soviet Union,7495 km 2,http://blocgame.com/stats.php?id=62714,
Edtopia,Edgar,The Federal Colonies,25k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,12 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1466 million,688 Mbbl; 2 Mbbl,,Mediocre,,Mesoamerica,Neutral,19406 km 2,http://blocgame.com/stats.php?id=249,
Sordidia,RogueandaScoundrel,The Order,74k active personnel,6 ships,Second World War surplus,Good,2 factories,Good,last online 11 hours ago,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$1466 million,449 Mbbl,Untapped,Powerful,,Caribbean,Soviet Union,39299 km 2,http://blocgame.com/stats.php?id=63203,
Smyrno,Mallow,Steel Brotherhood,100k active personnel,7 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 7 hours ago,21 Hundred Tons per month,12 Mbbl per month,Central Planning,$1462 million,9361 Mbbl,Untapped,Powerful,,Arabia,Soviet Union,49040 km 2,http://blocgame.com/stats.php?id=62960,
The Deserted,Kamakazi Sunshine,Steel Brotherhood,81k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 5 hours ago,20 Hundred Tons per month,3 Mbbl per month,Central Planning,$1461 million,123 Mbbl,,Powerful,,Pacific Rim,Soviet Union,19852 km 2,http://blocgame.com/stats.php?id=40459,
Borneon,orangsigat,PIRATES,116k active personnel,11 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 12 hours ago,30 Hundred Tons per month,21 Mbbl per month,Central Planning,$1456 million,166 Mbbl; 21 Mbbl,,Very Powerful,6 Tons,Caribbean,Neutral,32300 km 2,http://blocgame.com/stats.php?id=61947,
Sulon Grande,Sulon the Defiler,Brotherhood of Nod,0k active personnel,0 ships,First World War surplus,Questionable,1 factory,Good,last online 5 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$1454 million,2721 Mbbl; 2 Mbbl,Untapped,Somewhat Large,,Atlas,Neutral,11119 km 2,http://blocgame.com/stats.php?id=61038,
Large Man,LargeMan,The Divine Council,75k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 6 hours ago,9 Hundred Tons per month,16 Mbbl per month,Central Planning,$1443 million,7657 Mbbl; 16 Mbbl,Untapped,Powerful,1 Tons,Egypt,Soviet Union,52775 km 2,http://blocgame.com/stats.php?id=52836,
HiredGun,FreeCharge,The Order,62k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Good,online now,35 Hundred Tons per month,21 Mbbl per month,Central Planning,$1443 million,5282 Mbbl; 21 Mbbl,Untapped,Very Powerful,,Egypt,Soviet Union,52634 km 2,http://blocgame.com/stats.php?id=53353,
kufr conquerors,SilversLegend,Brotherhood of Nod,73k active personnel,6 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 11 hours ago,4 Hundred Tons per month,1 Mbbl per month,Central Planning,$1437 million,127 Mbbl; 1 Mbbl,Untapped,Powerful,,Southern Africa,Soviet Union,19817 km 2,http://blocgame.com/stats.php?id=59579,
Turbanistan,eromer2,The Order,89k active personnel,0 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 2 hours ago,22 Hundred Tons per month,4 Mbbl per month,Central Planning,$1437 million,614 Mbbl; 4 Mbbl,Untapped,Very Powerful,,The Subcontinent,Soviet Union,33881 km 2,http://blocgame.com/stats.php?id=63007,
Rebel Scum,Swipa,,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 27 hours ago,6 Hundred Tons per month,2 Mbbl per month,Central Planning,$1435 million,371 Mbbl; 2 Mbbl,Untapped,Meagre,,Arabia,Soviet Union,3545 km 2,http://blocgame.com/stats.php?id=63844,
Andes,Murtox,The Divine Council,72k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 2 hours ago,21 Hundred Tons per month,4 Mbbl per month,Central Planning,$1429 million,293 Mbbl,Plentiful,Somewhat Large,,Gran Colombia,Soviet Union,29615 km 2,http://blocgame.com/stats.php?id=51547,
Olympia,Xasthur,Brotherhood of Nod,78k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 25 hours ago,20 Hundred Tons per month,5 Mbbl per month,Central Planning,$1426 million,46 Mbbl; 5 Mbbl,Plentiful,Very Powerful,,China,Soviet Union,42250 km 2,http://blocgame.com/stats.php?id=51354,
Nameck,Picko,Interpol,79k active personnel,4 ships,Korean War surplus,Gandhi-like,3 factories,Elite,online now,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$1424 million,9731 Mbbl; 12 Mbbl,Untapped,Powerful,,Arabia,Soviet Union,41252 km 2,http://blocgame.com/stats.php?id=61968,
Vursian,Amirul Izzat,PIRATES,53k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,last online 18 hours ago,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$1424 million,,Untapped,Large,,East Indies,Soviet Union,16435 km 2,http://blocgame.com/stats.php?id=62540,
fjortonattio8,fiveonesix,The Order,87k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 1 hours ago,30 Hundred Tons per month,5 Mbbl per month,Free Market,$1419 million,145 Mbbl,Untapped,Large,,Gran Colombia,United States,30782 km 2,http://blocgame.com/stats.php?id=63413,
Neu-Berlin,JewWithCoins,The Order,49k active personnel,6 ships,Second World War surplus,Gandhi-like,3 factories,Standard,last online 9 hours ago,20 Hundred Tons per month,14 Mbbl per month,Central Planning,$1416 million,450 Mbbl; 14 Mbbl,Untapped,Large,,China,Soviet Union,30574 km 2,http://blocgame.com/stats.php?id=63504,
Based World,Lil B,SPQR,53k active personnel,0 ships,Korean War surplus,Angelic,2 factories,Standard,last online 6 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$1415 million,459 Mbbl; 5 Mbbl,Untapped,Mediocre,,The Subcontinent,Soviet Union,21345 km 2,http://blocgame.com/stats.php?id=58035,
Alanies,Alany,The Order,55k active personnel,0 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 3 hours ago,24 Hundred Tons per month,11 Mbbl per month,Central Planning,$1411 million,2284 Mbbl; 11 Mbbl,Untapped,Large,,Mesopotamia,Soviet Union,32003 km 2,http://blocgame.com/stats.php?id=54617,
Laurence,Frezzerbloom,Brotherhood of Nod,88k active personnel,2 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 8 hours ago,16 Hundred Tons per month,10 Mbbl per month,Central Planning,$1409 million,2766 Mbbl; 10 Mbbl,Untapped,Very Powerful,1 Tons,Arabia,Soviet Union,23990 km 2,http://blocgame.com/stats.php?id=49637,
Briggs,General Armstrong,SPQR,69k active personnel,0 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 6 hours ago,28 Hundred Tons per month,4 Mbbl per month,Central Planning,$1408 million,341 Mbbl,Untapped,Very Powerful,,Southern Cone,Soviet Union,40980 km 2,http://blocgame.com/stats.php?id=53442,
johoreansouth,afiqaffendy615,PIRATES,96k active personnel,7 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 1 hours ago,26 Hundred Tons per month,11 Mbbl per month,Central Planning,$1401 million,212 Mbbl; 11 Mbbl,Untapped,Very Powerful,,The Subcontinent,Neutral,40759 km 2,http://blocgame.com/stats.php?id=61895,
Hajoki,Makao,The Khilafah,30k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 13 hours ago,3 Hundred Tons per month,12 Mbbl per month,Free Market,$1398 million,678 Mbbl,Untapped,Meagre,,Atlas,Soviet Union,6437 km 2,http://blocgame.com/stats.php?id=60093,
Rogue Nation,MR.Fernandez,The Order,46k active personnel,1 ships,Second World War surplus,Angelic,2 factories,Elite,online now,17 Hundred Tons per month,11 Mbbl per month,Central Planning,$1398 million,405 Mbbl,Untapped,Very Powerful,,China,Soviet Union,19846 km 2,http://blocgame.com/stats.php?id=64135,
Targaria,i0i0i0,SPQR,27k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,10 Hundred Tons per month,6 Mbbl per month,Central Planning,$1397 million,6 Mbbl,Depleted,Small,,Pacific Rim,Soviet Union,13078 km 2,http://blocgame.com/stats.php?id=42946,
ZumbaZumbi,PakuPakis,PIRATES,30k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 24 hours ago,5 Hundred Tons per month,2 Mbbl per month,Free Market,$1397 million,9 Mbbl; 2 Mbbl,Near Depletion,Large,,Southern Africa,United States,2867 km 2,http://blocgame.com/stats.php?id=61482,
Uzbekistan.,Ittin,Brotherhood of Nod,99k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Good,online now,27 Hundred Tons per month,13 Mbbl per month,Central Planning,$1396 million,5573 Mbbl; 13 Mbbl,Plentiful,Very Powerful,,Persia,Soviet Union,56555 km 2,http://blocgame.com/stats.php?id=59590,
fetiwert,raja adam iskandar,The Federal Colonies,3k active personnel,0 ships,Second World War surplus,Isolated,1 factory,Undisciplined Rabble,last online 3 hours ago,2 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1389 million,270 Mbbl,Untapped,None,,East Indies,Neutral,4381 km 2,http://blocgame.com/stats.php?id=63124,
Sarnath,Gnai-Kah,The Federal Colonies,65k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 12 hours ago,18 Hundred Tons per month,10 Mbbl per month,Free Market,$1385 million,1303 Mbbl,,Mediocre,,Arabia,United States,16159 km 2,http://blocgame.com/stats.php?id=62981,
Wladimiria,Estagon,The Divine Council,71k active personnel,7 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,11 Hundred Tons per month,11 Mbbl per month,Central Planning,$1382 million,4387 Mbbl; 11 Mbbl,Untapped,Very Powerful,,Mesopotamia,Soviet Union,38316 km 2,http://blocgame.com/stats.php?id=52318,
Pembunuh,Kepek,PIRATES,51k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 16 hours ago,10 Hundred Tons per month,9 Mbbl per month,Central Planning,$1380 million,2625 Mbbl,Untapped,Mediocre,,Atlas,Soviet Union,10576 km 2,http://blocgame.com/stats.php?id=63737,
Gulam,Galak,PIRATES,4k active personnel,5 ships,Second World War surplus,Good,2 factories,Standard,online now,17 Hundred Tons per month,7 Mbbl per month,Central Planning,$1379 million,411 Mbbl; 7 Mbbl,,Mediocre,,Pacific Rim,Soviet Union,20189 km 2,http://blocgame.com/stats.php?id=63645,
Wankmuffin,tempcunt,,7k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,8 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$1371 million,488 Mbbl; 6 Mbbl,,Small,,Mesoamerica,Neutral,6896 km 2,http://blocgame.com/stats.php?id=63325,
Magical Horses,Tzafety,The Divine Council,84k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 11 hours ago,33 Hundred Tons per month,23 Mbbl per month,Central Planning,$1370 million,3374 Mbbl; 23 Mbbl,Untapped,Powerful,,Arabia,Soviet Union,40452 km 2,http://blocgame.com/stats.php?id=51070,
United Pacific,lionsan,Comintern,7k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 72 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$1370 million,125 Mbbl; 4 Mbbl,Untapped,Mediocre,,Pacific Rim,Soviet Union,11163 km 2,http://blocgame.com/stats.php?id=63488,
Infebiousness,infebious,Interpol,58k active personnel,0 ships,Korean War surplus,Gandhi-like,1 factory,Elite,last online 10 hours ago,12 Hundred Tons per month,2 Mbbl per month,Free Market,$1358 million,271 Mbbl,Untapped,Powerful,,Southern Africa,United States,33673 km 2,http://blocgame.com/stats.php?id=40302,
Bango,MrTangoMango,The Order,58k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Standard,online now,33 Hundred Tons per month,2 Mbbl per month,Central Planning,$1357 million,62 Mbbl; 2 Mbbl,Untapped,Large,,Southern Africa,Soviet Union,25482 km 2,http://blocgame.com/stats.php?id=59337,
Amazonian Union,Hugo Chavez,Steel Brotherhood,45k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 9 hours ago,6 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$1355 million,161 Mbbl,Untapped,Large,,Amazonia,United States,16791 km 2,http://blocgame.com/stats.php?id=59377,
Panzer,Pak43,The Order,51k active personnel,1 ships,Korean War surplus,Questionable,2 factories,Elite,last online 6 hours ago,5 Hundred Tons per month,4 Mbbl per month,Central Planning,$1347 million,276 Mbbl; 4 Mbbl,Untapped,Mediocre,,China,Soviet Union,37757 km 2,http://blocgame.com/stats.php?id=63748,
Bahamat,Gamersauce,The Khilafah,41k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,online now,21 Hundred Tons per month,9 Mbbl per month,Central Planning,$1347 million,80 Mbbl; 9 Mbbl,,Mediocre,,The Subcontinent,Soviet Union,20260 km 2,http://blocgame.com/stats.php?id=64061,
Viktoria,gracious leader skylar,The Order,48k active personnel,0 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 23 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$1346 million,335 Mbbl; 5 Mbbl,Untapped,Very Powerful,,Pacific Rim,Soviet Union,28305 km 2,http://blocgame.com/stats.php?id=40188,
Lyon,Corpsegrinder,The Order,44k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Standard,last online 75 hours ago,6 Hundred Tons per month,3 Mbbl per month,Central Planning,$1346 million,135 Mbbl; 3 Mbbl,Untapped,Mediocre,,Gran Colombia,Soviet Union,15535 km 2,http://blocgame.com/stats.php?id=57382,
Sana,twiceleader,The Order,44k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 27 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$1346 million,12 Mbbl; 2 Mbbl,Untapped,Mediocre,,China,Neutral,22732 km 2,http://blocgame.com/stats.php?id=60262,
Losong,Hafirus,PIRATES,95k active personnel,6 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 10 hours ago,25 Hundred Tons per month,8 Mbbl per month,Mixed Economy,$1346 million,47 Mbbl,Untapped,Very Powerful,,Pacific Rim,Neutral,42060 km 2,http://blocgame.com/stats.php?id=60570,
Fedorians,LeMemeMaster,Illuminati,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 41 hours ago,3 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1344 million,,Untapped,Meagre,,China,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=64028,
Borgasha,Magus Evergreen,The Order,78k active personnel,4 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,15 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1343 million,6009 Mbbl; 10 Mbbl,Untapped,Large,,Atlas,Soviet Union,32254 km 2,http://blocgame.com/stats.php?id=63407,
Olut,Vittusaatana,The Order,91k active personnel,0 ships,Second World War surplus,Nice,2 factories,Elite,last online 12 hours ago,30 Hundred Tons per month,20 Mbbl per month,Central Planning,$1341 million,6830 Mbbl; 20 Mbbl,Plentiful,Very Powerful,,Atlas,Soviet Union,42364 km 2,http://blocgame.com/stats.php?id=63682,
The Abarat,John Mischeif,The Order,88k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 14 hours ago,16 Hundred Tons per month,7 Mbbl per month,Mixed Economy,$1340 million,3053 Mbbl; 7 Mbbl,Untapped,Large,,Arabia,Soviet Union,26819 km 2,http://blocgame.com/stats.php?id=40068,
Black Swamp,dopes,The United Nations,6k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 2 hours ago,10 Hundred Tons per month,,Free Market,$1340 million,,Untapped,Meagre,,East Indies,Neutral,13639 km 2,http://blocgame.com/stats.php?id=51451,
raja_png,DiDi27,PIRATES,5k active personnel,0 ships,First World War surplus,Questionable,1 factory,Good,last online 12 hours ago,2 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$1337 million,89 Mbbl; 3 Mbbl,Untapped,None,,Pacific Rim,Neutral,2782 km 2,http://blocgame.com/stats.php?id=62000,
Cartenesia,hexagon,,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 66 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$1331 million,,Untapped,None,,Pacific Rim,Neutral,3114 km 2,http://blocgame.com/stats.php?id=58994,
pooperheds,Yung Peanuts,,7k active personnel,0 ships,Second World War surplus,Normal,1 factory,Undisciplined Rabble,last online 27 hours ago,6 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1328 million,55 Mbbl,Untapped,None,,China,Neutral,4210 km 2,http://blocgame.com/stats.php?id=63903,
SUNGAI KERAK,Nizarudin,PIRATES,65k active personnel,5 ships,Second World War surplus,Questionable,2 factories,Standard,online now,9 Hundred Tons per month,6 Mbbl per month,Free Market,$1326 million,462 Mbbl,Untapped,Large,,East Indies,United States,32890 km 2,http://blocgame.com/stats.php?id=61710,
United-Muslims,Karim,SPQR,7k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 5 hours ago,7 Hundred Tons per month,,Mixed Economy,$1325 million,,Untapped,None,,Mesopotamia,United States,2984 km 2,http://blocgame.com/stats.php?id=61674,
Shinystan,He Who Wears No Pants,The Order,21k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 10 hours ago,11 Hundred Tons per month,3 Mbbl per month,Free Market,$1325 million,311 Mbbl,Untapped,Somewhat Large,,Caribbean,Neutral,16010 km 2,http://blocgame.com/stats.php?id=63522,
Lepkonia,Raguixxx,Interpol,93k active personnel,0 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 10 hours ago,41 Hundred Tons per month,11 Mbbl per month,Central Planning,$1320 million,118 Mbbl; 11 Mbbl,Untapped,Large,,Southern Cone,Soviet Union,42720 km 2,http://blocgame.com/stats.php?id=55854,
Opallia,Opal,The Order,109k active personnel,7 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 9 hours ago,25 Hundred Tons per month,6 Mbbl per month,Central Planning,$1320 million,375 Mbbl,Untapped,Large,,Mesoamerica,United States,39273 km 2,http://blocgame.com/stats.php?id=63666,
DZ Djeich,StratoDZ,The Khilafah,17k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 12 hours ago,14 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1318 million,1538 Mbbl; 10 Mbbl,Plentiful,Mediocre,,Atlas,Soviet Union,9125 km 2,http://blocgame.com/stats.php?id=61408,
Razgriskm,Tordus Stahl,The Divine Council,26k active personnel,2 ships,Second World War surplus,Normal,2 factories,Elite,last online 2 hours ago,17 Hundred Tons per month,7 Mbbl per month,Central Planning,$1318 million,265 Mbbl; 7 Mbbl,Near Depletion,Somewhat Large,,West Africa,Soviet Union,27559 km 2,http://blocgame.com/stats.php?id=63117,
Pokok Sena,bobit2,PIRATES,20k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 3 hours ago,7 Hundred Tons per month,3 Mbbl per month,Central Planning,$1318 million,388 Mbbl,Untapped,Very Powerful,,East Indies,Soviet Union,22935 km 2,http://blocgame.com/stats.php?id=63144,
Haaga,Belac2.0,The Federal Colonies,3k active personnel,0 ships,Second World War surplus,Nice,None,Good,last online 16 hours ago,11 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$1318 million,414 Mbbl; 3 Mbbl,Plentiful,None,,Caribbean,United States,27569 km 2,http://blocgame.com/stats.php?id=64322,
Khebabistan,Khebab,Steel Brotherhood,77k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 7 hours ago,15 Hundred Tons per month,15 Mbbl per month,Mixed Economy,$1317 million,2371 Mbbl,Untapped,Small,,Arabia,Neutral,18495 km 2,http://blocgame.com/stats.php?id=51401,
Sector 6,porkcannon,The Order,72k active personnel,4 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 5 hours ago,9 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$1317 million,484 Mbbl; 4 Mbbl,Untapped,Powerful,,Pacific Rim,Neutral,33515 km 2,http://blocgame.com/stats.php?id=63362,
Savannah,Watersfall,Steel Brotherhood,119k active personnel,2 ships,Korean War surplus,Gandhi-like,4 factories,Poor,last online 6 hours ago,30 Hundred Tons per month,2 Mbbl per month,Central Planning,$1314 million,,Untapped,Large,,Pacific Rim,Soviet Union,36987 km 2,http://blocgame.com/stats.php?id=49817,
Aratana Kibo,Yuno,,8k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 155 hours ago,11 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1314 million,1 Mbbl; 2 Mbbl,Untapped,Meagre,,Southern Africa,Neutral,4935 km 2,http://blocgame.com/stats.php?id=63197,
MalayaMMP,zazammu86,PIRATES,6k active personnel,0 ships,First World War surplus,Normal,None,Undisciplined Rabble,last online 95 hours ago,4 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$1311 million,104 Mbbl; 5 Mbbl,Untapped,Meagre,,Pacific Rim,Neutral,3438 km 2,http://blocgame.com/stats.php?id=62383,
Gobi,Saint Gobi,The Order,87k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 21 hours ago,36 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1309 million,418 Mbbl,Untapped,Large,,Congo,United States,27032 km 2,http://blocgame.com/stats.php?id=61919,
umok,whydoyoudodis,The United Nations,9k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 14 hours ago,6 Hundred Tons per month,6 Mbbl per month,Central Planning,$1307 million,692 Mbbl; 6 Mbbl,Untapped,Small,,Persia,Soviet Union,5205 km 2,http://blocgame.com/stats.php?id=62724,
