country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Platypus Island,Mark0Polo,SPQR,55k active personnel,2 ships,Second World War surplus,Gandhi-like,4 factories,Standard,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$2598 million,384 Mbbl; 21 Mbbl,Untapped,Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Asians,bigyihsuan,The Divine Council,56k active personnel,-1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 2 hours ago,10 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$2436 million,386 Mbbl; 5 Mbbl,Plentiful,Mediocre,Pacific Rim,United States,23549 km 2,http://blocgame.com/stats.php?id=41551,,
Kyranistan,Michael Hussain,Comintern,60k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,12 Hundred Tons per month,12 Mbbl per month,Central Planning,$2314 million,5887 Mbbl; 12 Mbbl,Near Depletion,Large,Persia,Soviet Union,25332 km 2,http://blocgame.com/stats.php?id=61263,,
Tuonela,Beelzebub,The Order,58k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 6 hours ago,29 Hundred Tons per month,2 Mbbl per month,Central Planning,$2267 million,348 Mbbl; 2 Mbbl,Untapped,Large,The Subcontinent,Soviet Union,40811 km 2,http://blocgame.com/stats.php?id=389,,
Morovistan,Gustave Bergher,The Divine Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 4 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$2249 million,3336 Mbbl; 13 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Sovngarde,Farron47,The Order,72k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 7 hours ago,24 Hundred Tons per month,6 Mbbl per month,Central Planning,$2214 million,621 Mbbl; 6 Mbbl,Untapped,Powerful,East Indies,Soviet Union,43266 km 2,http://blocgame.com/stats.php?id=62626,,
temasik,lawrence,SPQR,39k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 5 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$2165 million,931 Mbbl; 4 Mbbl,,Mediocre,East Indies,United States,19295 km 2,http://blocgame.com/stats.php?id=62827,,
Uzbekistanstan,Shaikh Zayer,The Order,79k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 9 hours ago,40 Hundred Tons per month,5 Mbbl per month,Free Market,$2163 million,420 Mbbl,Untapped,Large,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
Tamarlania,Vagrant,The Divine Council,172k active personnel,9 ships,First World War surplus,Normal,5 factories,Standard,last online 6 hours ago,62 Hundred Tons per month,62 Mbbl per month,Free Market,$2155 million,4591 Mbbl,Untapped,Very Powerful,Mesopotamia,United States,50563 km 2,http://blocgame.com/stats.php?id=61626,5%,
Raja Udang,Mario,PIRATES,90k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$2134 million,212 Mbbl; 7 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,40566 km 2,http://blocgame.com/stats.php?id=61754,,
Almania,Almanich,Brotherhood of Nod,66k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 7 hours ago,2 Hundred Tons per month,,Central Planning,$2081 million,171 Mbbl,Untapped,Very Powerful,China,Soviet Union,52660 km 2,http://blocgame.com/stats.php?id=51725,,
LOCAI,Agumentic,Brotherhood of Nod,39k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Good,online now,10 Hundred Tons per month,4 Mbbl per month,Free Market,$2066 million,367 Mbbl; 4 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Femtonesia,1101,Comintern,40k active personnel,2 ships,First World War surplus,Good,2 factories,Elite,online now,42 Hundred Tons per month,6 Mbbl per month,Central Planning,$2059 million,87 Mbbl; 6 Mbbl,,Small,Pacific Rim,Soviet Union,33625 km 2,http://blocgame.com/stats.php?id=63083,,
