country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,55k active personnel,3 ships,Second World War surplus,Gandhi-like,4 factories,Poor,last online 1 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$2762 million,321 Mbbl; 21 Mbbl,Untapped,Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Tuonela,Beelzebub,The Order,70k active personnel,2 ships,Second World War surplus,Angelic,2 factories,Elite,last online 5 hours ago,30 Hundred Tons per month,2 Mbbl per month,Central Planning,$2760 million,376 Mbbl; 2 Mbbl,Untapped,Large,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,,
Raja Udang,Mario,PIRATES,67k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,17 Hundred Tons per month,7 Mbbl per month,Central Planning,$2720 million,254 Mbbl; 7 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,44686 km 2,http://blocgame.com/stats.php?id=61754,,
Batu putih,Harzan,The Federal Colonies,61k active personnel,4 ships,Second World War surplus,Questionable,2 factories,Elite,last online 3 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$2689 million,147 Mbbl,Near Depletion,Large,East Indies,Soviet Union,16282 km 2,http://blocgame.com/stats.php?id=61926,,
Kyranistan,Michael Hussain,Comintern,36k active personnel,0 ships,First World War surplus,Nice,2 factories,Elite,last online 6 hours ago,12 Hundred Tons per month,12 Mbbl per month,Central Planning,$2432 million,5851 Mbbl; 12 Mbbl,Depleted,Large,Persia,Soviet Union,24829 km 2,http://blocgame.com/stats.php?id=61263,,
Morovistan,Gustave Bergher,The Divine Council,58k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$2381 million,3297 Mbbl; 13 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,27477 km 2,http://blocgame.com/stats.php?id=62905,,
Rome Reloaded,Tiberius Ceaser,SPQR,14k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,26 Hundred Tons per month,11 Mbbl per month,Central Planning,$2330 million,7210 Mbbl,Depleted,Small,Mesopotamia,Soviet Union,18852 km 2,http://blocgame.com/stats.php?id=1421,1 Tons,
Sovngarde,Farron47,The Order,82k active personnel,3 ships,Second World War surplus,Angelic,4 factories,Elite,last online 5 hours ago,27 Hundred Tons per month,7 Mbbl per month,Central Planning,$2319 million,602 Mbbl; 7 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,43458 km 2,http://blocgame.com/stats.php?id=62626,,
temasik,lawrence,SPQR,24k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 18 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$2311 million,919 Mbbl; 4 Mbbl,,Small,East Indies,United States,19103 km 2,http://blocgame.com/stats.php?id=62827,,
Uzbekistanstan,Shaikh Zayer,The Order,79k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,45 Hundred Tons per month,5 Mbbl per month,Free Market,$2286 million,405 Mbbl,Untapped,Large,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
LOCAI,Agumentic,Brotherhood of Nod,39k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 3 hours ago,11 Hundred Tons per month,5 Mbbl per month,Free Market,$2240 million,355 Mbbl; 5 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Femtonesia,1101,Comintern,13k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 10 hours ago,42 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$2235 million,69 Mbbl; 6 Mbbl,,Mediocre,Pacific Rim,Soviet Union,32989 km 2,http://blocgame.com/stats.php?id=63083,,
Mirah,Filzah,The Order,70k active personnel,6 ships,Second World War surplus,Gandhi-like,4 factories,Good,last online 2 hours ago,19 Hundred Tons per month,12 Mbbl per month,Central Planning,$2197 million,424 Mbbl; 12 Mbbl,Untapped,Powerful,China,Soviet Union,24791 km 2,http://blocgame.com/stats.php?id=64191,,
VinnyNation,VinnyRuler,Brotherhood of Nod,47k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 5 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$2191 million,243 Mbbl; 4 Mbbl,Untapped,Small,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
Ghost Shark,Sharky,PIRATES,91k active personnel,7 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,10 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$2132 million,212 Mbbl,Untapped,Large,East Indies,Neutral,46668 km 2,http://blocgame.com/stats.php?id=63863,,
constania,Comrade,The Divine Council,99k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,online now,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$2116 million,49 Mbbl; 7 Mbbl,,Large,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,,
Sintra,Daniel Lima,The Order,117k active personnel,3 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 3 hours ago,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$2108 million,186 Mbbl; 12 Mbbl,,Somewhat Large,Caribbean,Soviet Union,35838 km 2,http://blocgame.com/stats.php?id=63167,,
Aasyria,David al-Assad,The Order,58k active personnel,3 ships,First World War surplus,Good,3 factories,Good,last online 12 hours ago,22 Hundred Tons per month,15 Mbbl per month,Central Planning,$2093 million,3622 Mbbl,Plentiful,Very Powerful,Mesopotamia,Soviet Union,42439 km 2,http://blocgame.com/stats.php?id=60967,,
