country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Conesur,Thalis96,,25k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 84 hours ago,2 Hundred Tons per month,,Free Market,$342 million,,Untapped,None,Southern Cone,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64542,,
Bestaan,Sixto LaWhite,,18k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 31 hours ago,2 Hundred Tons per month,,Mixed Economy,$342 million,,Untapped,None,Southern Africa,Neutral,19800 km 2,http://blocgame.com/stats.php?id=64555,,
Titanium,MrTitaniumMan,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 82 hours ago,2 Hundred Tons per month,,Mixed Economy,$341 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=43032,,
Dumbdumb,Dumbdumb,,12k active personnel,0 ships,First World War surplus,Angelic,None,Undisciplined Rabble,last online 103 hours ago,2 Hundred Tons per month,,Mixed Economy,$341 million,,Untapped,None,Indochina,Neutral,12645 km 2,http://blocgame.com/stats.php?id=63201,,
povertunion,joseph4424,The Order,36k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 4 hours ago,3 Hundred Tons per month,2 Mbbl per month,Free Market,$341 million,1351 Mbbl,Untapped,Meagre,Persia,Soviet Union,20201 km 2,http://blocgame.com/stats.php?id=64429,,
Higgara,Publius Sulpicius,,6k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 76 hours ago,2 Hundred Tons per month,,Free Market,$341 million,,Untapped,None,Mesopotamia,Neutral,19800 km 2,http://blocgame.com/stats.php?id=64556,,
Gangsterland,Abdelgangster,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 88 hours ago,2 Hundred Tons per month,,Mixed Economy,$340 million,,Untapped,None,Atlas,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64537,,
Ruslavia,Generalissimmo,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 79 hours ago,2 Hundred Tons per month,,Central Planning,$339 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=50825,,
The Dank Side,Dolan Dank,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 103 hours ago,2 Hundred Tons per month,,Central Planning,$339 million,,Untapped,None,Egypt,Neutral,20000 km 2,http://blocgame.com/stats.php?id=59019,,
Vader,Lord Vader,,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 158 hours ago,2 Hundred Tons per month,,Mixed Economy,$339 million,,Untapped,None,East Indies,Neutral,16335 km 2,http://blocgame.com/stats.php?id=61885,,
Cucc,Tumi,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 102 hours ago,2 Hundred Tons per month,,Central Planning,$339 million,,Untapped,None,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=63839,,
Hidin,Hidin,,5k active personnel,0 ships,First World War surplus,Normal,1 factory,Undisciplined Rabble,last online 45 hours ago,1 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$339 million,213 Mbbl,,None,East Indies,Neutral,8201 km 2,http://blocgame.com/stats.php?id=64108,,
Serbiastan,Milosevic,,6k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 35 hours ago,2 Hundred Tons per month,,Mixed Economy,$339 million,,Untapped,None,Arabia,Neutral,11020 km 2,http://blocgame.com/stats.php?id=64114,,
Nazareth,SirJunkie95,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 98 hours ago,2 Hundred Tons per month,,Free Market,$339 million,,Untapped,None,Southern Africa,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64518,,
