country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Tuonela,Beelzebub,The Order,115k active personnel,9 ships,Korean War surplus,Angelic,7 factories,Good,online now,45 Hundred Tons per month,3 Mbbl per month,Central Planning,$7106 million,291 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,62884 km 2,http://blocgame.com/stats.php?id=389,,
USSR,CommissarBrian,The Order,49k active personnel,0 ships,Korean War surplus,Gandhi-like,10 factories,Elite,last online 12 hours ago,39 Hundred Tons per month,9 Mbbl per month,Central Planning,$6596 million,62 Mbbl; 9 Mbbl,Untapped,Very Powerful,China,Soviet Union,54281 km 2,http://blocgame.com/stats.php?id=54182,,
Shambala,Feranon,Brotherhood of Nod,70k active personnel,4 ships,Korean War surplus,Gandhi-like,5 factories,Elite,online now,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$5539 million,493 Mbbl; 5 Mbbl,Untapped,Powerful,Pacific Rim,Soviet Union,37105 km 2,http://blocgame.com/stats.php?id=41268,5%,
Conferan,Cryptox,The Order,178k active personnel,11 ships,Vietnam War surplus,Gandhi-like,5 factories,Elite,online now,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$5310 million,139 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,73153 km 2,http://blocgame.com/stats.php?id=56710,,
LOCAI,Agumentic,Brotherhood of Nod,77k active personnel,14 ships,Korean War surplus,Gandhi-like,6 factories,Elite,last online 3 hours ago,12 Hundred Tons per month,8 Mbbl per month,Free Market,$5286 million,393 Mbbl; 8 Mbbl,Untapped,Powerful,The Subcontinent,United States,36708 km 2,http://blocgame.com/stats.php?id=53011,,
Markovia,RDM HC,The Federal Colonies,149k active personnel,13 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 1 hours ago,37 Hundred Tons per month,17 Mbbl per month,Free Market,$5279 million,17 Mbbl,Untapped,Very Powerful,Caribbean,United States,44119 km 2,http://blocgame.com/stats.php?id=58369,,
Aminichina,doublepedaldylan,The Order,53k active personnel,5 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$5257 million,925 Mbbl; 5 Mbbl,Untapped,Large,Indochina,Soviet Union,35803 km 2,http://blocgame.com/stats.php?id=56720,,
Morovistan,Gustave Bergher,SPQR,98k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 40 hours ago,25 Hundred Tons per month,19 Mbbl per month,Central Planning,$5178 million,4735 Mbbl; 19 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Sovngarde,Farron47,The Order,8k active personnel,15 ships,Korean War surplus,Nice,3 factories,Undisciplined Rabble,online now,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$5074 million,246 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,34863 km 2,http://blocgame.com/stats.php?id=62626,,
TheDarkSide,LordVader,Misanthropics,30k active personnel,11 ships,Vietnam War surplus,Gandhi-like,4 factories,Undisciplined Rabble,last online 3 hours ago,24 Hundred Tons per month,4 Mbbl per month,Central Planning,$5044 million,392 Mbbl; 4 Mbbl,,Very Powerful,East Indies,Neutral,43338 km 2,http://blocgame.com/stats.php?id=63139,,
Ferma,President Jacobo Vincenzo,The Order,9k active personnel,7 ships,Vietnam War surplus,Gandhi-like,3 factories,Good,last online 1 hours ago,25 Hundred Tons per month,,Mixed Economy,$4922 million,266 Mbbl,Near Depletion,Meagre,Southern Cone,United States,40611 km 2,http://blocgame.com/stats.php?id=58784,,
Coccoladia,Ernesto Caprone,The Federal Colonies,63k active personnel,1 ships,Korean War surplus,Gandhi-like,4 factories,Standard,last online 4 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$4812 million,2 Mbbl,Untapped,Very Powerful,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,
Uzbekistanstan,Shaikh Zayer,The Order,81k active personnel,8 ships,Korean War surplus,Gandhi-like,6 factories,Good,last online 22 hours ago,59 Hundred Tons per month,5 Mbbl per month,Free Market,$4812 million,145 Mbbl,Untapped,Very Powerful,Congo,United States,42029 km 2,http://blocgame.com/stats.php?id=47207,,
Tamarlania,Vagrant,The Order,133k active personnel,51 ships,Korean War surplus,Gandhi-like,8 factories,Elite,last online 19 hours ago,74 Hundred Tons per month,67 Mbbl per month,Free Market,$4775 million,2213 Mbbl,Untapped,Very Powerful,Mesopotamia,Neutral,63802 km 2,http://blocgame.com/stats.php?id=61626,5%,
Lorigan,Lorigan,Interpol,108k active personnel,6 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 2 hours ago,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$4703 million,159 Mbbl; 8 Mbbl,Plentiful,Large,Amazonia,Soviet Union,43631 km 2,http://blocgame.com/stats.php?id=59787,,
Cirno,jc99,The Federal Colonies,169k active personnel,12 ships,Korean War surplus,Gandhi-like,8 factories,Poor,online now,34 Hundred Tons per month,2 Mbbl per month,Central Planning,$4630 million,164 Mbbl,Plentiful,Very Powerful,Caribbean,Soviet Union,41625 km 2,http://blocgame.com/stats.php?id=43375,,1 Tons
Platypus Island,Mark0Polo,SPQR,6k active personnel,5 ships,Second World War surplus,Nice,4 factories,Standard,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$4628 million,21 Mbbl,,Meagre,Indochina,Soviet Union,56213 km 2,http://blocgame.com/stats.php?id=63909,,
Rome Reloaded,Tiberius Ceaser,SPQR,78k active personnel,7 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 12 hours ago,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$4586 million,4390 Mbbl,,Very Powerful,Mesopotamia,Soviet Union,12961 km 2,http://blocgame.com/stats.php?id=1421,,
Crayola,baker greg,The Order,138k active personnel,2 ships,Second World War surplus,Gandhi-like,5 factories,Standard,last online 8 hours ago,32 Hundred Tons per month,23 Mbbl per month,Central Planning,$4540 million,4265 Mbbl; 23 Mbbl,Untapped,Very Powerful,Egypt,United States,60719 km 2,http://blocgame.com/stats.php?id=63958,,
Cubania,General Fidelis,The Order,118k active personnel,4 ships,Korean War surplus,Gandhi-like,7 factories,Standard,last online 17 hours ago,60 Hundred Tons per month,18 Mbbl per month,Central Planning,$4539 million,18 Mbbl,Untapped,Very Powerful,Mesoamerica,Soviet Union,61756 km 2,http://blocgame.com/stats.php?id=47349,,
