country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Ongcan,OngCan,,20k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 46 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$317 million,2 Mbbl,Untapped,Meagre,Indochina,Neutral,20000 km 2,http://blocgame.com/stats.php?id=62393,,
Druidz,Druidz,,25k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 35 hours ago,2 Hundred Tons per month,,Central Planning,$317 million,,Untapped,None,Persia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64543,,
Peanuts,Salty_Nuts,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 33 hours ago,2 Hundred Tons per month,,Central Planning,$317 million,,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64546,,
Goskovaria,Miroslav Gregoros,,25k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 31 hours ago,2 Hundred Tons per month,,Mixed Economy,$317 million,,Untapped,None,Atlas,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64552,,
Bestaan,Sixto LaWhite,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 28 hours ago,2 Hundred Tons per month,,Mixed Economy,$317 million,,Untapped,None,Southern Africa,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64555,,
Higgara,Publius Sulpicius,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 27 hours ago,2 Hundred Tons per month,,Free Market,$317 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64556,,
sultallian,sultallian,,49k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 9 hours ago,2 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$316 million,3518 Mbbl; 10 Mbbl,Untapped,None,Egypt,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64119,,
Afpakistan,WolfyTheAlpha,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,online now,6 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$316 million,1166 Mbbl,Untapped,None,Atlas,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64497,,
Flower Hippies,Wolololo,,20k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 2 hours ago,4 Hundred Tons per month,,Central Planning,$316 million,,Untapped,None,Pacific Rim,United States,20000 km 2,http://blocgame.com/stats.php?id=64563,,
the Antilles,Chris F.,,14k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 28 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$315 million,490 Mbbl; 1 Mbbl,Untapped,None,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=61529,,
