country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl,reactor
mold,moldypotato,,25k active personnel,0 ships,First World War surplus,Normal,None,Elite,last online 3 hours ago,2 Hundred Tons per month,,Mixed Economy,$305 million,,Untapped,None,,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65076,
Da Cowz,Cowz4Life,,20k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 404731 hours ago,2 Hundred Tons per month,,Free Market,$305 million,,Untapped,None,,Southern Africa,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65078,
Ebica,Supreme Commander II,,25k active personnel,0 ships,First World War surplus,Normal,None,Elite,last online 1 hours ago,2 Hundred Tons per month,,Central Planning,$305 million,,Untapped,None,,Southern Africa,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65080,
Africa,Manbearpig,,39k active personnel,0 ships,First World War surplus,Nice,None,Standard,last online 48 hours ago,4 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$304 million,1 Mbbl,Untapped,None,,Congo,Neutral,20000 km 2,http://blocgame.com/stats.php?id=40083,
Lucianstan,Tovarishch Lukian,Brotherhood of Nod,22k active personnel,0 ships,First World War surplus,Angelic,None,Elite,online now,5 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$304 million,492 Mbbl; 1 Mbbl,Untapped,None,,Southern Cone,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=50168,
Ahmadica,Tsar Ahmad III,,30k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 48 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$304 million,1 Mbbl,Untapped,None,,Arabia,United States,20000 km 2,http://blocgame.com/stats.php?id=65011,
Nerouglia,AllahSaures,Islamic Rome,22k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 3 hours ago,3 Hundred Tons per month,1 Mbbl per month,Free Market,$304 million,4502 Mbbl; 1 Mbbl,Untapped,None,,Atlas,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=65077,
kebulur,Lapar,The Order,24k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 18 hours ago,8 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$303 million,311 Mbbl,Untapped,None,,Guinea,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64971,
Mauritius,Dragonz,,20k active personnel,0 ships,Finest of the 19th century,Questionable,1 factory,Standard,last online 5 hours ago,3 Hundred Tons per month,3 Mbbl per month,Free Market,$303 million,381 Mbbl,Untapped,None,,East Africa,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65031,
North Kvasno,McChimp,,25k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 166 hours ago,6 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$302 million,3 Mbbl,Untapped,None,,China,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=52369,
