country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl,reactor
TheDarkSide,LordVader,The Divine Council,111k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 5 hours ago,27 Hundred Tons per month,3 Mbbl per month,Central Planning,$4269 million,963 Mbbl; 3 Mbbl,Plentiful,Very Powerful,1 Tons,East Indies,Soviet Union,85158 km 2,http://blocgame.com/stats.php?id=63139,
Platypus Island,Mark0Polo,SPQR,148k active personnel,8 ships,Second World War surplus,Gandhi-like,5 factories,Standard,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$3857 million,53 Mbbl; 21 Mbbl,Near Depletion,Very Powerful,,Indochina,Soviet Union,38122 km 2,http://blocgame.com/stats.php?id=63909,
Raja Udang,Mario,PIRATES,33k active personnel,5 ships,Second World War surplus,Angelic,3 factories,Elite,last online 6 hours ago,18 Hundred Tons per month,8 Mbbl per month,Free Market,$3466 million,125 Mbbl; 8 Mbbl,Untapped,Mediocre,,Pacific Rim,Soviet Union,37944 km 2,http://blocgame.com/stats.php?id=61754,
Morovistan,Gustave Bergher,The Divine Council,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 5 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$3382 million,3927 Mbbl; 13 Mbbl,Untapped,Powerful,,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,
Sovngarde,Farron47,The Order,93k active personnel,5 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 2 hours ago,30 Hundred Tons per month,8 Mbbl per month,Central Planning,$3375 million,621 Mbbl; 8 Mbbl,Untapped,Very Powerful,,East Indies,Soviet Union,46383 km 2,http://blocgame.com/stats.php?id=62626,
Tuonela,Beelzebub,The Order,116k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Elite,online now,38 Hundred Tons per month,3 Mbbl per month,Central Planning,$3362 million,335 Mbbl; 3 Mbbl,Untapped,Very Powerful,,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,
Newsoka,E Mark,The Divine Council,59k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 13 hours ago,33 Hundred Tons per month,15 Mbbl per month,Mixed Economy,$3110 million,521 Mbbl,Untapped,Somewhat Large,,Indochina,United States,27878 km 2,http://blocgame.com/stats.php?id=63105,
Aasyria,David al-Assad,The Order,98k active personnel,7 ships,Second World War surplus,Gandhi-like,3 factories,Poor,last online 1 hours ago,35 Hundred Tons per month,15 Mbbl per month,Central Planning,$3073 million,4087 Mbbl,Plentiful,Very Powerful,,Mesopotamia,Soviet Union,45142 km 2,http://blocgame.com/stats.php?id=60967,
LOCAI,Agumentic,Brotherhood of Nod,59k active personnel,1 ships,Second World War surplus,Gandhi-like,4 factories,Good,last online 1 hours ago,11 Hundred Tons per month,6 Mbbl per month,Free Market,$3055 million,280 Mbbl; 6 Mbbl,Untapped,Very Powerful,,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,
Conferan,Cryptox,The Divine Council,118k active personnel,4 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 2 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$3050 million,355 Mbbl,Untapped,Very Powerful,1 Tons,East Indies,Soviet Union,52919 km 2,http://blocgame.com/stats.php?id=56710,
Junoma,VicReyes,Steel Brotherhood,77k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,17 Hundred Tons per month,5 Mbbl per month,Free Market,$3004 million,432 Mbbl,Untapped,Powerful,1 Tons,Southern Cone,United States,45159 km 2,http://blocgame.com/stats.php?id=40349,
Uzbekistanstan,Shaikh Zayer,The Order,79k active personnel,3 ships,Second World War surplus,Nice,4 factories,Good,last online 1 hours ago,53 Hundred Tons per month,5 Mbbl per month,Free Market,$2970 million,335 Mbbl,Untapped,Large,,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,
whitmanistan,slim,The Order,107k active personnel,5 ships,Korean War surplus,Gandhi-like,5 factories,Standard,last online 4 hours ago,17 Hundred Tons per month,9 Mbbl per month,Free Market,$2942 million,6572 Mbbl; 9 Mbbl,Untapped,Large,,Mesopotamia,United States,60991 km 2,http://blocgame.com/stats.php?id=36344,
VinnyNation,VinnyRuler,Brotherhood of Nod,47k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 16 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$2848 million,187 Mbbl; 4 Mbbl,Untapped,Somewhat Large,,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,
Ken no Taiyou,Hikari,The Order,39k active personnel,2 ships,Second World War surplus,Gandhi-like,4 factories,Good,online now,9 Hundred Tons per month,35 Mbbl per month,Central Planning,$2840 million,3016 Mbbl; 35 Mbbl,Untapped,Powerful,,Persia,Soviet Union,32081 km 2,http://blocgame.com/stats.php?id=64029,
Cirno,jc99,The Federal Colonies,158k active personnel,4 ships,Second World War surplus,Gandhi-like,6 factories,Poor,last online 2 hours ago,34 Hundred Tons per month,2 Mbbl per month,Free Market,$2839 million,240 Mbbl,Untapped,Large,1 Tons,Caribbean,United States,41625 km 2,http://blocgame.com/stats.php?id=43375,
Mirah,Filzah,The Order,128k active personnel,9 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 2 hours ago,25 Hundred Tons per month,12 Mbbl per month,Central Planning,$2818 million,256 Mbbl; 12 Mbbl,Untapped,Powerful,,China,Soviet Union,26843 km 2,http://blocgame.com/stats.php?id=64191,
Rome Reloaded,Tiberius Ceaser,SPQR,46k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 16 hours ago,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$2790 million,4846 Mbbl,Near Depletion,Somewhat Large,,Mesopotamia,Soviet Union,12961 km 2,http://blocgame.com/stats.php?id=1421,
Kosan,Whitearcher8,The Divine Council,75k active personnel,0 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,16 Hundred Tons per month,9 Mbbl per month,Central Planning,$2785 million,6586 Mbbl,Untapped,Very Powerful,,Arabia,Soviet Union,34556 km 2,http://blocgame.com/stats.php?id=59227,
Asiana,El_Xanatos,The Divine Council,93k active personnel,1 ships,First World War surplus,Gandhi-like,3 factories,Good,last online 5 hours ago,33 Hundred Tons per month,7 Mbbl per month,Central Planning,$2772 million,291 Mbbl; 7 Mbbl,Untapped,Large,,Indochina,Soviet Union,59453 km 2,http://blocgame.com/stats.php?id=62221,
Eastasia,accounts being deleted,The Order,72k active personnel,2 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 5 hours ago,11 Hundred Tons per month,6 Mbbl per month,Central Planning,$2763 million,885 Mbbl; 6 Mbbl,Untapped,Small,,Pacific Rim,Soviet Union,34570 km 2,http://blocgame.com/stats.php?id=63527,
Hitlerwasright,Louis C Cuck,The Order,98k active personnel,0 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 8 hours ago,35 Hundred Tons per month,25 Mbbl per month,Free Market,$2708 million,10045 Mbbl,,Large,,Arabia,United States,33237 km 2,http://blocgame.com/stats.php?id=59621,
Leinad,bloodywaffles12,The Order,99k active personnel,2 ships,Second World War surplus,Questionable,3 factories,Good,last online 2 hours ago,14 Hundred Tons per month,10 Mbbl per month,Central Planning,$2696 million,588 Mbbl; 10 Mbbl,Untapped,Somewhat Large,,China,Soviet Union,21978 km 2,http://blocgame.com/stats.php?id=59332,
Coccoladia,Ernesto Caprone,The Federal Colonies,38k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$2670 million,54 Mbbl; 2 Mbbl,Untapped,Large,,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,
Skekenhouse,Kraast,The Order,84k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 1 hours ago,36 Hundred Tons per month,16 Mbbl per month,Central Planning,$2665 million,4677 Mbbl; 16 Mbbl,Untapped,Very Powerful,,Mesopotamia,Soviet Union,56679 km 2,http://blocgame.com/stats.php?id=62962,
USSR,CommissarBrian,The Order,79k active personnel,0 ships,Korean War surplus,Gandhi-like,6 factories,Poor,last online 12 hours ago,39 Hundred Tons per month,8 Mbbl per month,Central Planning,$2656 million,139 Mbbl; 8 Mbbl,Untapped,Small,,China,Soviet Union,47029 km 2,http://blocgame.com/stats.php?id=54182,
Morjei,FlairWoW,The Divine Council,74k active personnel,1 ships,Second World War surplus,Gandhi-like,5 factories,Standard,last online 1 hours ago,38 Hundred Tons per month,5 Mbbl per month,Central Planning,$2624 million,369 Mbbl; 5 Mbbl,Untapped,Very Powerful,,Indochina,Soviet Union,42900 km 2,http://blocgame.com/stats.php?id=53068,
Markovia,RDM HC,The Federal Colonies,118k active personnel,6 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 7 hours ago,26 Hundred Tons per month,13 Mbbl per month,Free Market,$2621 million,467 Mbbl; 13 Mbbl,Untapped,Powerful,,Caribbean,United States,40901 km 2,http://blocgame.com/stats.php?id=58369,
Shambala,Feranon,Brotherhood of Nod,69k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$2605 million,65 Mbbl; 5 Mbbl,Untapped,Large,,Pacific Rim,Soviet Union,29711 km 2,http://blocgame.com/stats.php?id=41268,5%
Batu putih,Harzan,The Federal Colonies,7k active personnel,4 ships,Second World War surplus,Nice,3 factories,Elite,last online 5 hours ago,10 Hundred Tons per month,8 Mbbl per month,Central Planning,$2591 million,263 Mbbl,,Mediocre,,East Indies,Soviet Union,9045 km 2,http://blocgame.com/stats.php?id=61926,
Brutish Empire,DarkyDonno,Brotherhood of Nod,99k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 13 hours ago,25 Hundred Tons per month,10 Mbbl per month,Central Planning,$2574 million,40 Mbbl; 10 Mbbl,Plentiful,Large,,China,Soviet Union,33209 km 2,http://blocgame.com/stats.php?id=57265,
Femtonesia,1101,Comintern,6k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 169 hours ago,42 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$2573 million,6 Mbbl,Untapped,Mediocre,,Pacific Rim,Neutral,27217 km 2,http://blocgame.com/stats.php?id=63083,
nanas,nanas batu,The Divine Council,5k active personnel,3 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$2560 million,241 Mbbl; 7 Mbbl,Untapped,Mediocre,,East Indies,Neutral,25719 km 2,http://blocgame.com/stats.php?id=61809,
Harezland,Adam harez,The Order,61k active personnel,1 ships,First World War surplus,Gandhi-like,3 factories,Good,last online 11 hours ago,11 Hundred Tons per month,10 Mbbl per month,Central Planning,$2546 million,209 Mbbl; 10 Mbbl,Untapped,Mediocre,,Pacific Rim,Neutral,16752 km 2,http://blocgame.com/stats.php?id=60587,
Alamo,linksith,SPQR,68k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 7 hours ago,11 Hundred Tons per month,3 Mbbl per month,Free Market,$2543 million,4341 Mbbl,Untapped,Large,,Mesopotamia,United States,16148 km 2,http://blocgame.com/stats.php?id=40536,
Tamarlania,Vagrant,The Order,129k active personnel,9 ships,Second World War surplus,Good,8 factories,Good,last online 17 hours ago,74 Hundred Tons per month,67 Mbbl per month,Free Market,$2537 million,4739 Mbbl,Untapped,Very Powerful,,Mesopotamia,United States,59217 km 2,http://blocgame.com/stats.php?id=61626,5%
Lorigan,Lorigan,The Divine Council,79k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Standard,last online 18 hours ago,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$2534 million,121 Mbbl; 8 Mbbl,Untapped,Large,,Amazonia,Soviet Union,39396 km 2,http://blocgame.com/stats.php?id=59787,
Asians,bigyihsuan,The Divine Council,5k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 7 hours ago,11 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$2533 million,154 Mbbl; 5 Mbbl,,Small,,Pacific Rim,United States,13225 km 2,http://blocgame.com/stats.php?id=41551,
KingBding,King B,The Order,58k active personnel,5 ships,Second World War surplus,Angelic,3 factories,Good,last online 6 hours ago,19 Hundred Tons per month,3 Mbbl per month,Central Planning,$2497 million,239 Mbbl; 3 Mbbl,Plentiful,Very Powerful,,Southern Africa,Soviet Union,25241 km 2,http://blocgame.com/stats.php?id=63205,
Krakozhia,Ilyich,Interpol,98k active personnel,2 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 13 hours ago,20 Hundred Tons per month,4 Mbbl per month,Central Planning,$2492 million,539 Mbbl; 4 Mbbl,Untapped,Very Powerful,,Pacific Rim,Soviet Union,28409 km 2,http://blocgame.com/stats.php?id=39065,
south nation,presiden tote,PIRATES,70k active personnel,3 ships,Second World War surplus,Nice,3 factories,Good,last online 5 hours ago,12 Hundred Tons per month,9 Mbbl per month,Central Planning,$2473 million,376 Mbbl; 9 Mbbl,,Small,,Pacific Rim,Soviet Union,42484 km 2,http://blocgame.com/stats.php?id=61911,
Mesopotamia,Arcturus,The Order,98k active personnel,4 ships,Second World War surplus,Gandhi-like,4 factories,Standard,online now,24 Hundred Tons per month,16 Mbbl per month,Free Market,$2471 million,5874 Mbbl,Untapped,Mediocre,,Mesopotamia,United States,37057 km 2,http://blocgame.com/stats.php?id=42045,
Salama�a,Bacardi,The Order,56k active personnel,0 ships,Korean War surplus,Normal,2 factories,Elite,last online 12 hours ago,21 Hundred Tons per month,8 Mbbl per month,Central Planning,$2466 million,125 Mbbl,Untapped,Somewhat Large,,Southern Cone,Soviet Union,23972 km 2,http://blocgame.com/stats.php?id=63383,
Cameronia,Cameron Saxonson,Steel Brotherhood,58k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 1 hours ago,19 Hundred Tons per month,10 Mbbl per month,Central Planning,$2457 million,288 Mbbl; 10 Mbbl,Untapped,Large,,Southern Cone,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62688,
Glubistan,Glub,SPQR,88k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 1 hours ago,25 Hundred Tons per month,13 Mbbl per month,Central Planning,$2438 million,1630 Mbbl; 13 Mbbl,Untapped,Large,,Arabia,Soviet Union,24486 km 2,http://blocgame.com/stats.php?id=63027,
Junovia,dontworryaboutit,Interpol,60k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 12 hours ago,24 Hundred Tons per month,7 Mbbl per month,Free Market,$2432 million,374 Mbbl; 7 Mbbl,Untapped,Large,,Pacific Rim,Neutral,20884 km 2,http://blocgame.com/stats.php?id=63088,
Mzab,Cuma Thurman,Steel Brotherhood,85k active personnel,4 ships,Second World War surplus,Gandhi-like,3 factories,Good,online now,28 Hundred Tons per month,16 Mbbl per month,Central Planning,$2432 million,3935 Mbbl; 16 Mbbl,Untapped,Large,,Atlas,Soviet Union,38538 km 2,http://blocgame.com/stats.php?id=63775,5%
Tamil Kingdom,Chola I,The Order,140k active personnel,13 ships,Vietnam War surplus,Angelic,5 factories,Good,online now,50 Hundred Tons per month,7 Mbbl per month,Central Planning,$2396 million,837 Mbbl; 7 Mbbl,Untapped,Large,,The Subcontinent,Soviet Union,69095 km 2,http://blocgame.com/stats.php?id=60964,
Mmhat,Homermustdie,The Divine Council,18k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,14 Hundred Tons per month,2 Mbbl per month,Free Market,$2375 million,117 Mbbl; 2 Mbbl,Untapped,Mediocre,,Amazonia,United States,20400 km 2,http://blocgame.com/stats.php?id=45846,
Crimea,Hayro Khan,The Order,58k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 1 hours ago,17 Hundred Tons per month,11 Mbbl per month,Central Planning,$2373 million,3386 Mbbl; 11 Mbbl,,Large,,Atlas,Soviet Union,31017 km 2,http://blocgame.com/stats.php?id=2570,
Ghost Shark,Sharky,PIRATES,86k active personnel,9 ships,Second World War surplus,Good,3 factories,Elite,online now,12 Hundred Tons per month,6 Mbbl per month,Free Market,$2372 million,134 Mbbl,Untapped,Large,,East Indies,United States,53378 km 2,http://blocgame.com/stats.php?id=63863,
Mingland,mpetersen,Brotherhood of Nod,118k active personnel,9 ships,Second World War surplus,Nice,3 factories,Elite,online now,29 Hundred Tons per month,13 Mbbl per month,Central Planning,$2349 million,284 Mbbl; 13 Mbbl,Untapped,Very Powerful,,Southern Africa,Soviet Union,29330 km 2,http://blocgame.com/stats.php?id=63922,
Byzantium,The Wolf,Steel Brotherhood,85k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Standard,last online 19 hours ago,33 Hundred Tons per month,14 Mbbl per month,Free Market,$2346 million,5897 Mbbl,Untapped,Very Powerful,,Mesopotamia,United States,41409 km 2,http://blocgame.com/stats.php?id=41125,
Sintra,Daniel Lima,The Order,85k active personnel,6 ships,First World War surplus,Gandhi-like,2 factories,Standard,online now,23 Hundred Tons per month,12 Mbbl per month,Central Planning,$2323 million,18 Mbbl; 12 Mbbl,Untapped,Somewhat Large,,Caribbean,Soviet Union,35838 km 2,http://blocgame.com/stats.php?id=63167,
The NLR,Darknight,The Order,90k active personnel,8 ships,Korean War surplus,Nice,3 factories,Good,online now,65 Hundred Tons per month,5 Mbbl per month,Central Planning,$2304 million,111 Mbbl; 5 Mbbl,Untapped,Very Powerful,,Congo,Soviet Union,56545 km 2,http://blocgame.com/stats.php?id=49701,
Sepidajistan,Shah Squid,Steel Brotherhood,35k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 20 hours ago,6 Hundred Tons per month,2 Mbbl per month,Central Planning,$2296 million,3673 Mbbl; 2 Mbbl,,Powerful,,Atlas,Soviet Union,13917 km 2,http://blocgame.com/stats.php?id=59462,
Lubekran,septima,Interpol,6k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 6 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$2289 million,451 Mbbl; 5 Mbbl,Untapped,Large,,Indochina,Soviet Union,7937 km 2,http://blocgame.com/stats.php?id=62568,
Lombardy,Aistulf,The Order,68k active personnel,1 ships,Korean War surplus,Angelic,4 factories,Standard,online now,20 Hundred Tons per month,18 Mbbl per month,Free Market,$2278 million,7829 Mbbl,Plentiful,Large,,Persia,United States,51308 km 2,http://blocgame.com/stats.php?id=63882,
Southern Africa,TheMaster_ZA,The Order,88k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,36 Hundred Tons per month,5 Mbbl per month,Central Planning,$2274 million,145 Mbbl,Untapped,Powerful,,Southern Africa,Soviet Union,49553 km 2,http://blocgame.com/stats.php?id=48410,
Alexandrastan,TWAIN,Brotherhood of Nod,55k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 1 hours ago,10 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$2263 million,1850 Mbbl; 6 Mbbl,Untapped,Somewhat Large,,Mesopotamia,United States,28361 km 2,http://blocgame.com/stats.php?id=39070,
Conrad,Waled,SPQR,80k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 7 hours ago,20 Hundred Tons per month,16 Mbbl per month,Central Planning,$2261 million,4400 Mbbl; 16 Mbbl,,Large,,Egypt,Soviet Union,17722 km 2,http://blocgame.com/stats.php?id=62640,5%
Ferma,President Jacobo Vincenzo,The Order,67k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Standard,online now,25 Hundred Tons per month,,Free Market,$2243 million,178 Mbbl,Untapped,Large,,Southern Cone,United States,27656 km 2,http://blocgame.com/stats.php?id=58784,
Jemut,iwaniman/Ferozz,PIRATES,77k active personnel,6 ships,Second World War surplus,Good,5 factories,Good,last online 1 hours ago,25 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$2232 million,230 Mbbl,Untapped,Very Powerful,,East Indies,Soviet Union,38415 km 2,http://blocgame.com/stats.php?id=61811,
constania,Comrade,The Divine Council,91k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 76 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$2226 million,7 Mbbl,Untapped,Powerful,,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,
Psilocybis,Lysergix,Brotherhood of Nod,38k active personnel,4 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 6 hours ago,11 Hundred Tons per month,8 Mbbl per month,Central Planning,$2224 million,5039 Mbbl; 8 Mbbl,Untapped,Large,,Persia,Soviet Union,19602 km 2,http://blocgame.com/stats.php?id=62795,
Neechanville,Overlord-kun,Steel Brotherhood,88k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,18 Hundred Tons per month,5 Mbbl per month,Central Planning,$2223 million,391 Mbbl; 5 Mbbl,Untapped,Somewhat Large,,Gran Colombia,Soviet Union,27420 km 2,http://blocgame.com/stats.php?id=63023,
SettingMoon,Hawk,The Order,36k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$2220 million,422 Mbbl; 5 Mbbl,Untapped,Very Powerful,,East Indies,Soviet Union,17407 km 2,http://blocgame.com/stats.php?id=62839,
Khuzestan,Georgy Zhukov,The Federal Colonies,79k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,19 Hundred Tons per month,10 Mbbl per month,Central Planning,$2218 million,2941 Mbbl; 10 Mbbl,Untapped,Very Powerful,2 Tons,Persia,Soviet Union,42240 km 2,http://blocgame.com/stats.php?id=48914,
Etiwan,Latvu,The Divine Council,9k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 165 hours ago,19 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$2208 million,213 Mbbl,Untapped,Mediocre,,Amazonia,United States,20052 km 2,http://blocgame.com/stats.php?id=60056,
temasik,lawrence,SPQR,4k active personnel,2 ships,Second World War surplus,Questionable,2 factories,Undisciplined Rabble,last online 5 hours ago,4 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$2207 million,596 Mbbl; 4 Mbbl,,Mediocre,,East Indies,Neutral,12623 km 2,http://blocgame.com/stats.php?id=62827,
New Luzon,Chester E. Marquez,The Order,78k active personnel,3 ships,Second World War surplus,Angelic,3 factories,Elite,online now,8 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$2194 million,4848 Mbbl,Untapped,Somewhat Large,,Egypt,Neutral,36192 km 2,http://blocgame.com/stats.php?id=63066,
Johor,Helmi Omar,PIRATES,26k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 4 hours ago,9 Hundred Tons per month,5 Mbbl per month,Central Planning,$2190 million,90 Mbbl; 5 Mbbl,,Somewhat Large,,Pacific Rim,Neutral,15289 km 2,http://blocgame.com/stats.php?id=60442,
Thair,Tacoonastick,The Order,20k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 18 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$2182 million,365 Mbbl; 5 Mbbl,,Large,,Congo,Soviet Union,10465 km 2,http://blocgame.com/stats.php?id=60955,
Treehouse,Number One,The Divine Council,43k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,6 Hundred Tons per month,3 Mbbl per month,Free Market,$2179 million,329 Mbbl; 3 Mbbl,Untapped,Powerful,,Indochina,United States,18492 km 2,http://blocgame.com/stats.php?id=58889,
Cyleia,Silas Adar,,2k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Poor,last online 50 hours ago,11 Hundred Tons per month,6 Mbbl per month,Free Market,$2179 million,112 Mbbl; 6 Mbbl,Untapped,Mediocre,,Mesoamerica,United States,12739 km 2,http://blocgame.com/stats.php?id=62784,
Cubania,General Fidelis,The Order,79k active personnel,4 ships,Korean War surplus,Gandhi-like,3 factories,Elite,online now,46 Hundred Tons per month,12 Mbbl per month,Central Planning,$2177 million,26 Mbbl; 12 Mbbl,Untapped,Large,,Mesoamerica,Soviet Union,56421 km 2,http://blocgame.com/stats.php?id=47349,
Manturia-Korea,Maosecond,,92k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 5 hours ago,22 Hundred Tons per month,10 Mbbl per month,Free Market,$2177 million,189 Mbbl,Untapped,Somewhat Large,,China,United States,22792 km 2,http://blocgame.com/stats.php?id=64188,
kweensnkans,Jamal T.Ice cube,,41k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 139 hours ago,7 Hundred Tons per month,4 Mbbl per month,Free Market,$2176 million,2979 Mbbl,,Large,,Egypt,United States,16728 km 2,http://blocgame.com/stats.php?id=63345,
Puerto Libre,Jose Ramon Rodriguez III,The Federal Colonies,44k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 16 hours ago,19 Hundred Tons per month,13 Mbbl per month,Free Market,$2173 million,36 Mbbl,Untapped,Very Powerful,1 Tons,Caribbean,United States,20000 km 2,http://blocgame.com/stats.php?id=61883,
Jebawka,Shetay,The Order,99k active personnel,0 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 19 hours ago,18 Hundred Tons per month,10 Mbbl per month,Free Market,$2171 million,3127 Mbbl,Untapped,Very Powerful,,Arabia,United States,29809 km 2,http://blocgame.com/stats.php?id=54304,
Texastan,Rebel Lord,Interpol,102k active personnel,5 ships,Second World War surplus,Gandhi-like,5 factories,Elite,last online 1 hours ago,24 Hundred Tons per month,23 Mbbl per month,Central Planning,$2159 million,6403 Mbbl; 23 Mbbl,Plentiful,Very Powerful,,Mesopotamia,Soviet Union,51939 km 2,http://blocgame.com/stats.php?id=58149,
Lothl�rien,Galadriel,,159k active personnel,15 ships,Korean War surplus,Gandhi-like,11 factories,Elite,last online 5 hours ago,41 Hundred Tons per month,41 Mbbl per month,Free Market,$2147 million,11659 Mbbl; 41 Mbbl,,Very Powerful,,Atlas,United States,41177 km 2,http://blocgame.com/stats.php?id=64165,
Jerung Hantu,Syark Land,SPQR,3k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,online now,6 Hundred Tons per month,7 Mbbl per month,Free Market,$2137 million,747 Mbbl,,Somewhat Large,,Arabia,United States,10551 km 2,http://blocgame.com/stats.php?id=60505,
Crayola,baker greg,The Order,87k active personnel,2 ships,Second World War surplus,Gandhi-like,4 factories,Good,online now,22 Hundred Tons per month,9 Mbbl per month,Free Market,$2121 million,2818 Mbbl,Untapped,Large,,Egypt,United States,47922 km 2,http://blocgame.com/stats.php?id=63958,
Slavostan,Joe Tito-Hoxha,Interpol,71k active personnel,0 ships,Korean War surplus,Gandhi-like,1 factory,Elite,last online 4 hours ago,9 Hundred Tons per month,2 Mbbl per month,Central Planning,$2112 million,87 Mbbl; 2 Mbbl,Untapped,Mediocre,1 Tons,Indochina,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=48188,
Drelinka,Catheline lebran,SPQR,20k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 20 hours ago,4 Hundred Tons per month,9 Mbbl per month,Mixed Economy,$2109 million,1254 Mbbl,Untapped,Small,,Persia,Soviet Union,6003 km 2,http://blocgame.com/stats.php?id=61556,
