country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,39k active personnel,1 ships,First World War surplus,Nice,3 factories,Elite,online now,3 Hundred Tons per month,48 Mbbl per month,Free Market,$1207 million,5280 Mbbl,Untapped,Somewhat Large,Mesopotamia,United States,38547 km 2,http://blocgame.com/stats.php?id=61626,1 Tons
Tuonela,Beelzebub,The Order,55k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 4 hours ago,16 Hundred Tons per month,2 Mbbl per month,Central Planning,$964 million,322 Mbbl; 2 Mbbl,Untapped,Mediocre,The Subcontinent,Soviet Union,37195 km 2,http://blocgame.com/stats.php?id=389,
Femtonesia,1101,Comintern,59k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,online now,15 Hundred Tons per month,2 Mbbl per month,Central Planning,$932 million,212 Mbbl; 2 Mbbl,Plentiful,Meagre,Pacific Rim,Soviet Union,37416 km 2,http://blocgame.com/stats.php?id=63083,
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 5 hours ago,13 Hundred Tons per month,11 Mbbl per month,Mixed Economy,$906 million,3752 Mbbl; 11 Mbbl,Untapped,Small,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Kritch,Zorn,Brotherhood of Nod,34k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,online now,13 Hundred Tons per month,3 Mbbl per month,Central Planning,$822 million,556 Mbbl; 3 Mbbl,Untapped,Small,The Subcontinent,Soviet Union,34307 km 2,http://blocgame.com/stats.php?id=63155,
Morjei,FlairWoW,Brotherhood of Zion,38k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 4 hours ago,11 Hundred Tons per month,3 Mbbl per month,Central Planning,$815 million,137 Mbbl; 3 Mbbl,Untapped,Meagre,Indochina,Soviet Union,39862 km 2,http://blocgame.com/stats.php?id=53068,
Platypus Island,Mark0Polo,SPQR,39k active personnel,0 ships,First World War surplus,Nice,2 factories,Good,online now,11 Hundred Tons per month,7 Mbbl per month,Central Planning,$815 million,820 Mbbl; 7 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,24137 km 2,http://blocgame.com/stats.php?id=63909,
Memiaya,MrRoth,Che Guevara League,38k active personnel,0 ships,First World War surplus,Isolated,1 factory,Good,last online 2 hours ago,15 Hundred Tons per month,2 Mbbl per month,Central Planning,$799 million,571 Mbbl; 2 Mbbl,Untapped,Large,Caribbean,Soviet Union,45699 km 2,http://blocgame.com/stats.php?id=62980,1 Tons
Derse Moon,Jack Noir,The Order,58k active personnel,7 ships,First World War surplus,Good,5 factories,Elite,last online 6 hours ago,40 Hundred Tons per month,40 Mbbl per month,Free Market,$795 million,20474 Mbbl,,Very Powerful,Egypt,United States,56123 km 2,http://blocgame.com/stats.php?id=62965,
Khebab,Al Khebab,Al-Qassam Brigades,7k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 152 hours ago,6 Hundred Tons per month,6 Mbbl per month,Central Planning,$788 million,2202 Mbbl; 6 Mbbl,Untapped,Meagre,Arabia,Soviet Union,33462 km 2,http://blocgame.com/stats.php?id=63695,
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 28 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$773 million,4468 Mbbl,Untapped,Somewhat Large,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,
Uzbekistanstan,Shaikh Zayer,The Order,29k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 10 hours ago,17 Hundred Tons per month,3 Mbbl per month,Free Market,$764 million,551 Mbbl,Plentiful,Mediocre,Congo,United States,36651 km 2,http://blocgame.com/stats.php?id=47207,
LOCAI,Agumentic,Brotherhood of Zion,23k active personnel,0 ships,First World War surplus,Angelic,2 factories,Good,online now,4 Hundred Tons per month,2 Mbbl per month,Free Market,$761 million,224 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,
Cirno,jc99,The Federal Colonies,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 1 hours ago,25 Hundred Tons per month,2 Mbbl per month,Free Market,$757 million,310 Mbbl,Untapped,Small,Caribbean,United States,39052 km 2,http://blocgame.com/stats.php?id=43375,
Lyranistan,Lyranistan,Brotherhood of Nod,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$757 million,2773 Mbbl; 12 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,39228 km 2,http://blocgame.com/stats.php?id=56860,
Newsoka,E Mark,The High Council,10k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,15 Hundred Tons per month,7 Mbbl per month,Mixed Economy,$750 million,380 Mbbl,Untapped,Meagre,Indochina,United States,22891 km 2,http://blocgame.com/stats.php?id=63105,
bakhang,cukobi,The Order,35k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 11 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$745 million,1041 Mbbl; 5 Mbbl,Untapped,Somewhat Large,Atlas,Soviet Union,35100 km 2,http://blocgame.com/stats.php?id=60485,
Asians,bigyihsuan,The High Council,21k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 2 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$738 million,384 Mbbl; 2 Mbbl,Plentiful,None,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551,
al-Bahrayn,dbdb,The Order,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,7 Hundred Tons per month,7 Mbbl per month,Central Planning,$737 million,962 Mbbl; 7 Mbbl,Untapped,Somewhat Large,Mesopotamia,Soviet Union,30107 km 2,http://blocgame.com/stats.php?id=59775,
Cyleia,Silas Adar,The Order,37k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 5 hours ago,5 Hundred Tons per month,5 Mbbl per month,Free Market,$734 million,605 Mbbl; 5 Mbbl,Plentiful,Mediocre,Mesoamerica,United States,28634 km 2,http://blocgame.com/stats.php?id=62784,
Shambala,Feranon,Brotherhood of Nod,20k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 2 hours ago,6 Hundred Tons per month,3 Mbbl per month,Central Planning,$732 million,294 Mbbl; 3 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,31241 km 2,http://blocgame.com/stats.php?id=41268,
Tandak,jimmyyus,PIRATES,2k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 15 hours ago,6 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$732 million,6380 Mbbl; 6 Mbbl,Untapped,Mediocre,Egypt,United States,26270 km 2,http://blocgame.com/stats.php?id=62201,
South Uganda,Dr. Idi Amin,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 6 hours ago,23 Hundred Tons per month,4 Mbbl per month,Central Planning,$729 million,440 Mbbl; 4 Mbbl,Untapped,Somewhat Large,Southern Africa,Soviet Union,35374 km 2,http://blocgame.com/stats.php?id=63128,
Mzab,Cuma Thurman,Brotherhood of Zion,46k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 2 hours ago,9 Hundred Tons per month,7 Mbbl per month,Central Planning,$728 million,4607 Mbbl; 7 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,34384 km 2,http://blocgame.com/stats.php?id=63775,
ZAMENTA,ShAh FAr HAn,The Order,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 11 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$723 million,370 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,36293 km 2,http://blocgame.com/stats.php?id=61998,
North Nubia,Sean Tony,,4k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,13 Hundred Tons per month,2 Mbbl per month,Central Planning,$720 million,312 Mbbl; 2 Mbbl,Plentiful,Meagre,Congo,Soviet Union,24116 km 2,http://blocgame.com/stats.php?id=63084,
