country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,115k active personnel,0 ships,Second World War surplus,Gandhi-like,4 factories,Standard,last online 1 hours ago,36 Hundred Tons per month,21 Mbbl per month,Central Planning,$2220 million,531 Mbbl; 21 Mbbl,Untapped,Somewhat Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Kyranistan,Michael Hussain,Comintern,50k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 1 hours ago,11 Hundred Tons per month,11 Mbbl per month,Central Planning,$2019 million,5966 Mbbl; 11 Mbbl,Depleted,Large,Persia,Soviet Union,25332 km 2,http://blocgame.com/stats.php?id=61263,,
Tuonela,Beelzebub,The Order,66k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,28 Hundred Tons per month,2 Mbbl per month,Central Planning,$2017 million,362 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,,
Morovistan,Gustave Bergher,The High Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 2 hours ago,17 Hundred Tons per month,13 Mbbl per month,Central Planning,$1955 million,3427 Mbbl; 13 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Femtonesia,1101,Comintern,10k active personnel,1 ships,First World War surplus,Nice,2 factories,Elite,online now,40 Hundred Tons per month,6 Mbbl per month,Central Planning,$1893 million,152 Mbbl; 6 Mbbl,Depleted,Small,Pacific Rim,Soviet Union,40757 km 2,http://blocgame.com/stats.php?id=63083,,
Raja Udang,Mario,PIRATES,50k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 2 hours ago,15 Hundred Tons per month,6 Mbbl per month,Central Planning,$1856 million,260 Mbbl; 6 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,40329 km 2,http://blocgame.com/stats.php?id=61754,,
temasik,lawrence,SPQR,39k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 4 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$1854 million,958 Mbbl; 3 Mbbl,Near Depletion,Mediocre,East Indies,United States,19295 km 2,http://blocgame.com/stats.php?id=62827,,
Rome Reloaded,Tiberius Ceaser,SPQR,58k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 15 hours ago,25 Hundred Tons per month,11 Mbbl per month,Central Planning,$1793 million,6645 Mbbl,,Mediocre,Mesopotamia,Soviet Union,15568 km 2,http://blocgame.com/stats.php?id=1421,1 Tons,
Jebawka,Shetay,The Order,78k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 5 hours ago,11 Hundred Tons per month,10 Mbbl per month,Free Market,$1767 million,3151 Mbbl,Untapped,Small,Arabia,United States,28705 km 2,http://blocgame.com/stats.php?id=54304,,
German Empire,Frederick the Great,SPQR,40k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 21 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$1761 million,4321 Mbbl,Untapped,Powerful,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,,
Feffiopia,Serloks,The High Council,66k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,24 Hundred Tons per month,8 Mbbl per month,Central Planning,$1758 million,466 Mbbl,,Somewhat Large,The Subcontinent,Soviet Union,24983 km 2,http://blocgame.com/stats.php?id=46505,,
Tamarlania,Vagrant,The High Council,190k active personnel,9 ships,First World War surplus,Good,5 factories,Good,last online 7 hours ago,44 Hundred Tons per month,61 Mbbl per month,Free Market,$1738 million,4380 Mbbl,Untapped,Very Powerful,Mesopotamia,Neutral,43566 km 2,http://blocgame.com/stats.php?id=61626,,5%
constania,Comrade,The High Council,37k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 20 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$1720 million,119 Mbbl; 7 Mbbl,Untapped,Large,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,,
VinnyNation,VinnyRuler,Brotherhood of Nod,47k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$1708 million,283 Mbbl; 4 Mbbl,Untapped,Small,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
Sovngarde,Farron47,The Order,48k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 4 hours ago,21 Hundred Tons per month,5 Mbbl per month,Central Planning,$1700 million,586 Mbbl; 5 Mbbl,Untapped,Somewhat Large,East Indies,Soviet Union,40749 km 2,http://blocgame.com/stats.php?id=62626,,
South Uganda,Dr. Idi Amin,The High Council,119k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,34 Hundred Tons per month,5 Mbbl per month,Central Planning,$1691 million,497 Mbbl; 5 Mbbl,Untapped,Large,Southern Africa,Soviet Union,41306 km 2,http://blocgame.com/stats.php?id=63128,,
