country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Morovistan,Gustave Bergher,The Divine Council,58k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 3 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$2943 million,4070 Mbbl; 13 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Platypus Island,Mark0Polo,SPQR,55k active personnel,3 ships,Second World War surplus,Gandhi-like,5 factories,Elite,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$2928 million,258 Mbbl; 21 Mbbl,Untapped,Large,Indochina,Soviet Union,30523 km 2,http://blocgame.com/stats.php?id=63909,,
Tuonela,Beelzebub,The Order,74k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 3 hours ago,31 Hundred Tons per month,3 Mbbl per month,Central Planning,$2894 million,368 Mbbl; 3 Mbbl,Untapped,Large,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,,
Batu putih,Harzan,The Federal Colonies,61k active personnel,4 ships,Second World War surplus,Normal,3 factories,Elite,last online 4 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$2831 million,132 Mbbl,Near Depletion,Large,East Indies,Soviet Union,16282 km 2,http://blocgame.com/stats.php?id=61926,,
Raja Udang,Mario,PIRATES,75k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,online now,18 Hundred Tons per month,8 Mbbl per month,Central Planning,$2801 million,232 Mbbl; 8 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,44686 km 2,http://blocgame.com/stats.php?id=61754,,
TheDarkSide,LordVader,The Divine Council,93k active personnel,5 ships,Korean War surplus,Nice,2 factories,Standard,online now,28 Hundred Tons per month,2 Mbbl per month,Central Planning,$2621 million,778 Mbbl; 2 Mbbl,,Very Powerful,East Indies,Soviet Union,70289 km 2,http://blocgame.com/stats.php?id=63139,1 Tons,
whitmanistan,slim,The Order,83k active personnel,5 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 1 hours ago,17 Hundred Tons per month,9 Mbbl per month,Free Market,$2457 million,6401 Mbbl; 9 Mbbl,Untapped,Large,Mesopotamia,United States,60079 km 2,http://blocgame.com/stats.php?id=36344,,
temasik,lawrence,SPQR,32k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,online now,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$2449 million,907 Mbbl; 4 Mbbl,Near Depletion,Mediocre,East Indies,United States,18912 km 2,http://blocgame.com/stats.php?id=62827,,
Kosan,Whitearcher8,The Divine Council,66k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$2445 million,6666 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,34556 km 2,http://blocgame.com/stats.php?id=59227,,
Sovngarde,Farron47,The Order,84k active personnel,4 ships,Second World War surplus,Gandhi-like,4 factories,Elite,online now,27 Hundred Tons per month,7 Mbbl per month,Central Planning,$2428 million,581 Mbbl; 7 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,43649 km 2,http://blocgame.com/stats.php?id=62626,,
