country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
DZ Djeich,StratoDZ,Al-Qassam Brigades,6k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 3 hours ago,6 Hundred Tons per month,4 Mbbl per month,Central Planning,$466 million,3838 Mbbl; 4 Mbbl,Untapped,Meagre,Atlas,Soviet Union,22049 km 2,http://blocgame.com/stats.php?id=61408,
raja_png,DiDi27,,6k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 18 hours ago,4 Hundred Tons per month,1 Mbbl per month,Central Planning,$466 million,366 Mbbl; 1 Mbbl,Untapped,None,Pacific Rim,Soviet Union,13343 km 2,http://blocgame.com/stats.php?id=62000,
Pan-demo-nium,Raja,The Order,23k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 16 hours ago,7 Hundred Tons per month,2 Mbbl per month,Central Planning,$466 million,172 Mbbl; 2 Mbbl,,Meagre,The Subcontinent,Soviet Union,15851 km 2,http://blocgame.com/stats.php?id=63195,
August,Keile,,9k active personnel,0 ships,Finest of the 19th century,Angelic,None,Good,last online 109 hours ago,4 Hundred Tons per month,4 Mbbl per month,Free Market,$466 million,3968 Mbbl,Untapped,None,Egypt,Soviet Union,16500 km 2,http://blocgame.com/stats.php?id=63439,
SPNR,Stefan Stamenkovic,Comintern,52k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,7 Hundred Tons per month,3 Mbbl per month,Central Planning,$465 million,377 Mbbl; 3 Mbbl,Near Depletion,None,Indochina,Soviet Union,19800 km 2,http://blocgame.com/stats.php?id=51722,
United-Muslims,Karim,SPQR,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 19 hours ago,2 Hundred Tons per month,,Free Market,$465 million,,Untapped,None,Mesopotamia,United States,11120 km 2,http://blocgame.com/stats.php?id=61674,
Efren,Deling,Che Guevara League,7k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Elite,last online 47 hours ago,5 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$465 million,,Near Depletion,Meagre,Mesoamerica,Soviet Union,31026 km 2,http://blocgame.com/stats.php?id=62725,
Whte_Apartheid,Awesmon,The Order,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 160 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$465 million,1 Mbbl,Untapped,None,Congo,Neutral,20000 km 2,http://blocgame.com/stats.php?id=63271,
Taggart,Dagny,The Federal Colonies,9k active personnel,0 ships,First World War surplus,Angelic,None,Good,last online 129 hours ago,2 Hundred Tons per month,,Mixed Economy,$464 million,,Untapped,Small,Caribbean,Neutral,17843 km 2,http://blocgame.com/stats.php?id=59387,
Brunstovia,Zat Other Guy,The Order,10k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 128 hours ago,4 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$464 million,328 Mbbl; 1 Mbbl,Untapped,Meagre,China,United States,16335 km 2,http://blocgame.com/stats.php?id=62648,
Galactic Reich,Palpatine,The Order,8k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 143 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$464 million,4732 Mbbl; 4 Mbbl,Untapped,Meagre,Atlas,Neutral,19406 km 2,http://blocgame.com/stats.php?id=62776,
The Mutualists,Zheng Wen Ling,The High Council,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 124 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$463 million,265 Mbbl; 2 Mbbl,Untapped,None,Indochina,Neutral,20000 km 2,http://blocgame.com/stats.php?id=62015,
Qaramur,Qaram,,59k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,online now,3 Hundred Tons per month,,Central Planning,$463 million,,Near Depletion,Meagre,The Subcontinent,Neutral,11024 km 2,http://blocgame.com/stats.php?id=62861,
Eastern Eagle,MetaIndigo,,27k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 16 hours ago,5 Hundred Tons per month,2 Mbbl per month,Central Planning,$463 million,334 Mbbl; 2 Mbbl,Untapped,Small,The Subcontinent,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=63045,
TheDarkSide,LordVader,The Federal Colonies,45k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 3 hours ago,10 Hundred Tons per month,1 Mbbl per month,Central Planning,$463 million,288 Mbbl; 1 Mbbl,Untapped,Mediocre,East Indies,Soviet Union,33639 km 2,http://blocgame.com/stats.php?id=63139,
Curonia,Luke-ms,The Order,30k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 12 hours ago,4 Hundred Tons per month,2 Mbbl per month,Free Market,$463 million,401 Mbbl; 2 Mbbl,Untapped,Small,Southern Cone,United States,27330 km 2,http://blocgame.com/stats.php?id=63639,
Worthless Sand,Spirit of Saddam Hussein,Brotherhood of Nod,19k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,online now,9 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$461 million,3739 Mbbl; 2 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=63192,
